Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc
0.0040691818323578,0.0027486466593722,0.0023732709493201,0.0018464015902184,0.0016469194643483,0.0017506515173515,0.0020261389665133,0.0023838573613453
0.0040286341575761,0.0027185324085004,0.002338780914125,0.0018258531789739,0.0016378496507831,0.0017340164176191,0.0020043665354768,0.0023715721092972
0.0039887797181821,0.0026888674856215,0.0023050835499642,0.0018057531815963,0.0016287627949449,0.0017177234787793,0.0019830750245742,0.0023594002554836
0.0039496169830004,0.0026596544546201,0.0022721736345315,0.0017860997091075,0.0016196665868753,0.0017017734178106,0.0019622634247125,0.0023473455590113
0.0039111444208553,0.002630895879381,0.0022400459455205,0.0017668908725296,0.0016105687166162,0.0016861669516916,0.0019419307267983,0.0023354117789868
0.0038733605005715,0.0026025943237889,0.0022086952606251,0.0017481247828845,0.001601476874209,0.0016709047974007,0.0019220759217386,0.0023236026745168
0.0038362636909734,0.0025747523517285,0.002178116357539,0.0017297995511941,0.0015923987496955,0.0016559876719165,0.0019026980004401,0.0023119220047081
0.0037998524608854,0.0025473725270844,0.0021483040139559,0.0017119132884803,0.0015833420331173,0.0016414162922175,0.0018837959538097,0.0023003735286672
0.0037641252791321,0.0025204574137414,0.0021192530075695,0.0016944641057652,0.0015743144145162,0.0016271913752822,0.0018653687727542,0.0022889610055008
0.0037290806145379,0.0024940095755843,0.0020909581160737,0.0016774501140706,0.0015653235839337,0.0016133136380893,0.0018474154481803,0.0022776881943156
0.0036947169359274,0.0024680315764976,0.002063414117162,0.0016608694244186,0.0015563772314116,0.0015997837976171,0.001829934970995,0.0022665588542182
0.003661032712125,0.0024425259803661,0.0020366157885284,0.001644720147831,0.0015474830469916,0.0015866025708443,0.0018129263321049,0.0022555767443154
0.0036280264119551,0.0024174953510746,0.0020105579078664,0.0016290003953299,0.0015386487207152,0.0015737706747493,0.001796388522417,0.0022447456237137
0.0035956965042423,0.0023929422525076,0.0019852352528699,0.0016137082779371,0.0015298819426242,0.0015612888263107,0.0017803205328381,0.0022340692515198
0.0035640414578111,0.00236886924855,0.0019606426012326,0.0015988419066746,0.0015211904027603,0.0015491577425071,0.0017647213542749,0.0022235513868404
0.003533059741486,0.0023452789030864,0.0019367747306482,0.0015843993925644,0.001512581791165,0.0015373781403169,0.0017495899776343,0.0022131957887822
0.0035027498240913,0.0023221737800015,0.0019136264188104,0.0015703788466283,0.0015040637978801,0.0015259507367187,0.0017349253938231,0.0022030062164518
0.0034731101744517,0.00229955644318,0.0018911924434131,0.0015567783798885,0.0014956441129473,0.001514876248691,0.0017207265937481,0.0021929864289558
0.0034441392613916,0.0022774294565067,0.0018694675821499,0.0015435961033667,0.0014873304264082,0.0015041553932123,0.0017069925683161,0.002183140185401
0.0034158355537354,0.0022557953838662,0.0018484466127146,0.001530830128085,0.0014791304283044,0.0014937888872612,0.0016937223084339,0.002173471244894
0.0033881975203077,0.0022346567891433,0.0018281243128009,0.0015184785650653,0.0014710518086777,0.0014837774478162,0.0016809148050085,0.0021639833665414
0.003361223629933,0.0022140162362226,0.0018084954601026,0.0015065395253296,0.0014631022575698,0.0014741217918559,0.0016685690489465,0.0021546803094499
0.0033349123514357,0.0021938762889888,0.0017895548323134,0.0014950111198997,0.0014552894650222,0.0014648226363587,0.0016566840311547,0.0021455658327262
0.0033092621536403,0.0021742395113267,0.001771297207127,0.0014838914597977,0.0014476211210767,0.0014558806983031,0.0016452587425401,0.002136643695477
0.0032842715053713,0.002155108467121,0.0017537173622371,0.0014731786560455,0.0014401049157749,0.0014472966946678,0.0016342921740094,0.0021279176568089
0.0032599388754532,0.0021364857202563,0.0017368100753376,0.0014628708196651,0.0014327485391585,0.0014390713424313,0.0016237833164695,0.0021193914758285
0.0032362627327105,0.0021183738346175,0.0017205701241222,0.0014529660616783,0.0014255596812691,0.001431205358572,0.0016137311608271,0.0021110689116426
0.0032132415459676,0.002100775374089,0.0017049922862845,0.0014434624931072,0.0014185460321485,0.0014236994600685,0.001604134697989,0.0021029537233577
0.0031908737840491,0.0020836929025558,0.0016900713395184,0.0014343582249736,0.0014117152818384,0.0014165543638993,0.0015949929188622,0.0020950496700806
0.0031691579157794,0.0020671289839024,0.0016758020615175,0.0014256513682996,0.0014050751203802,0.001409770787043,0.0015863048143533,0.0020873605109179
0.003148092409983,0.0020510861820137,0.0016621792299757,0.0014173400341071,0.0013986332378159,0.0014033494464781,0.0015780693753692,0.0020798900049762
0.0031276757354843,0.0020355670607742,0.0016491976225866,0.001409422333418,0.0013923973241869,0.0013972910591831,0.0015702855928168,0.0020726419113623
0.003107906361108,0.0020205741840687,0.001636852017044,0.0014018963772543,0.001386375069535,0.0013915963421366,0.0015629524576028,0.0020656199891828
0.0030887827556784,0.002006110115782,0.0016251371910416,0.0013947602766379,0.0013805741639019,0.001386266012317,0.0015560689606341,0.0020588279975444
0.00307030338802,0.0019921774197986,0.0016140479222732,0.0013880121425909,0.0013750022973292,0.0013813007867029,0.0015496340928174,0.0020522696955537
0.0030524667269574,0.0019787786600034,0.0016035789884325,0.001381650086135,0.0013696671598586,0.0013767013822729,0.0015436468450597,0.0020459488423173
0.003035271241315,0.0019659164002809,0.0015937251672132,0.0013756722182923,0.0013645764415317,0.0013724685160054,0.0015381062082676,0.002039869196942
0.0030187153999173,0.001953593204516,0.0015844812363091,0.0013700766500848,0.0013597378323903,0.0013686029048791,0.0015330111733481,0.0020340345185344
