Dpeth,Dpeth,Dpeth,Dpeth,Dpeth,Dpeth,Dpeth,Dpeth
0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408
0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001
0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001
1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002
1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428
1.632,1.632,1.632,1.632,1.632,1.632,1.632,1.632
1.836,1.836,1.836,1.836,1.836,1.836,1.836,1.836
2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
2.244,2.244,2.244,2.244,2.244,2.244,2.244,2.244
2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004
2.652,2.652,2.652,2.652,2.652,2.652,2.652,2.652
2.856,2.856,2.856,2.856,2.856,2.856,2.856,2.856
3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
3.264,3.264,3.264,3.264,3.264,3.264,3.264,3.264
3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004
3.672,3.672,3.672,3.672,3.672,3.672,3.672,3.672
3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876
4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08
4.284,4.284,4.284,4.284,4.284,4.284,4.284,4.284
4.488,4.488,4.488,4.488,4.488,4.488,4.488,4.488
4.692,4.692,4.692,4.692,4.692,4.692,4.692,4.692
4.896000000000001,4.896000000000001,4.896000000000001,4.896000000000001,4.896000000000001,4.896000000000001,4.896000000000001,4.896000000000001
5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005
5.304,5.304,5.304,5.304,5.304,5.304,5.304,5.304
5.508000000000001,5.508000000000001,5.508000000000001,5.508000000000001,5.508000000000001,5.508000000000001,5.508000000000001,5.508000000000001
5.712,5.712,5.712,5.712,5.712,5.712,5.712,5.712
5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916
6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12
6.324000000000001,6.324000000000001,6.324000000000001,6.324000000000001,6.324000000000001,6.324000000000001,6.324000000000001,6.324000000000001
6.5280000000000005,6.5280000000000005,6.5280000000000005,6.5280000000000005,6.5280000000000005,6.5280000000000005,6.5280000000000005,6.5280000000000005
0.204,6.732000000000001,6.732000000000001,6.732000000000001,6.732000000000001,6.732000000000001,6.732000000000001,6.732000000000001
0.408,6.936000000000001,6.936000000000001,6.936000000000001,6.936000000000001,6.936000000000001,6.936000000000001,6.936000000000001
0.6120000000000001,7.14,7.14,7.14,7.14,7.14,7.14,7.14
0.8160000000000001,7.344,7.344,7.344,7.344,7.344,7.344,7.344
1.02,7.548,7.548,7.548,7.548,7.548,7.548,0.204
1.2240000000000002,7.752000000000001,7.752000000000001,7.752000000000001,7.752000000000001,7.752000000000001,7.752000000000001,0.408
1.428,7.956,7.956,7.956,7.956,7.956,7.956,0.6120000000000001
1.632,0.204,8.16,8.16,8.16,8.16,8.16,0.8160000000000001
1.836,0.408,8.364,8.364,8.364,8.364,8.364,1.02
2.04,0.6120000000000001,8.568,8.568,8.568,8.568,8.568,1.2240000000000002
2.244,0.8160000000000001,8.772,8.772,8.772,8.772,8.772,1.428
2.4480000000000004,1.02,8.976,8.976,8.976,8.976,8.976,1.632
2.652,1.2240000000000002,0.204,0.204,0.204,0.204,0.204,1.836
2.856,1.428,0.408,0.408,0.408,0.408,0.408,2.04
3.06,1.632,0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001,0.6120000000000001,2.244
3.264,1.836,0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001,0.8160000000000001,2.4480000000000004
3.4680000000000004,2.04,1.02,1.02,1.02,1.02,1.02,2.652
3.672,2.244,1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002,1.2240000000000002,2.856
3.876,2.4480000000000004,1.428,1.428,1.428,1.428,1.428,3.06
4.08,2.652,1.632,1.632,1.632,1.632,1.632,3.264
4.284,2.856,1.836,1.836,1.836,1.836,1.836,3.4680000000000004
4.488,3.06,2.04,2.04,2.04,2.04,2.04,3.672
4.692,3.264,2.244,2.244,2.244,2.244,2.244,3.876
4.896000000000001,3.4680000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,2.4480000000000004,4.08
5.1000000000000005,3.672,2.652,2.652,2.652,2.652,2.652,4.284
5.304,3.876,2.856,2.856,2.856,2.856,2.856,4.488
5.508000000000001,4.08,3.06,3.06,3.06,3.06,3.06,4.692
5.712,4.284,3.264,3.264,3.264,3.264,3.264,4.896000000000001
5.916,4.488,3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004,3.4680000000000004,5.1000000000000005
6.12,4.692,3.672,3.672,3.672,3.672,3.672,5.304
6.324000000000001,4.896000000000001,3.876,3.876,3.876,3.876,3.876,5.508000000000001
6.5280000000000005,5.1000000000000005,4.08,4.08,4.08,4.08,4.08,5.712
