D,D,D,D,D,D,D,D
1.8925766882767985e-08,2.3817618830887423e-08,2.2065331682630624e-08,1.7064125638086367e-08,2.1060699783875152e-08,1.9699025923607182e-08,2.3236955877497543e-08,2.6998441006632972e-08
1.8634229385688677e-08,2.3198462574904077e-08,2.149683591757711e-08,1.6705081957075073e-08,2.06119939459077e-08,1.9404447176120828e-08,2.2943341481849927e-08,2.674541885340581e-08
1.8350349689768133e-08,2.2596424240905807e-08,2.0943948599689528e-08,1.6353863829521863e-08,2.0172732413377382e-08,1.9116097938409947e-08,2.2656898244658763e-08,2.6498174992108263e-08
1.807415068897092e-08,2.2011102751362694e-08,2.040632676162732e-08,1.6010397945952433e-08,1.974279850127704e-08,1.883399090764897e-08,2.2377662006344057e-08,2.6256732736857872e-08
1.7805657715055692e-08,2.1442103496662633e-08,1.9883630936468588e-08,1.5674607604113798e-08,1.9322070904916858e-08,1.8558137133489498e-08,2.2105668087297756e-08,2.6021113284936796e-08
1.75448988335474e-08,2.088903767585377e-08,1.9375524616387952e-08,1.5346412359563097e-08,1.8910423220638263e-08,1.8288545761681176e-08,2.1840951112585867e-08,2.579133535824456e-08
1.7291905183536452e-08,2.035152160521765e-08,1.88816736719924e-08,1.5025727630909312e-08,1.8507723405957203e-08,1.8025223740216748e-08,2.158354480774577e-08,2.5567414790994987e-08
1.7046711369066354e-08,1.982917598712515e-08,1.8401745724979255e-08,1.4712464252692846e-08,1.811383317002118e-08,1.776817548176773e-08,2.1333481760676225e-08,2.5349364054642365e-08
1.6809355911490433e-08,1.932162513035737e-08,1.793540946552024e-08,1.4406527967611304e-08,1.7728607283667496e-08,1.75174024749988e-08,2.1090793143599395e-08,2.5137191709227642e-08
1.6579881774140262e-08,1.8828496111541743e-08,1.7482333904206143e-08,1.4107818848245822e-08,1.7351892796397527e-08,1.7272902835843272e-08,2.085550838786552e-08,2.493090176820205e-08
1.6358336973195392e-08,1.8349417865532115e-08,1.704218754655566e-08,1.3816230636616022e-08,1.6983528145325853e-08,1.7034670788088653e-08,2.0627654802890292e-08,2.473049296116845e-08
1.6144775291697932e-08,1.7884020190245952e-08,1.661463747575052e-08,1.3531649987578122e-08,1.6623342138262355e-08,1.6802696060339782e-08,2.040725712863164e-08,2.4535957875687696e-08
1.593925711763948e-08,1.7431932648705022e-08,1.6199348326503223e-08,1.325395559933332e-08,1.6271152789716867e-08,1.6576963183735927e-08,2.0194337008732973e-08,2.434728195530071e-08
1.574185043199815e-08,1.6992783347558012e-08,1.5795981129475953e-08,1.2983017210875169e-08,1.592676598437318e-08,1.6357450671356597e-08,1.9988912368561042e-08,2.4164442325846268e-08
1.5552631978997066e-08,1.656619756708918e-08,1.5404192001431372e-08,1.2718694441994145e-08,1.5589973937457533e-08,1.6144130055981768e-08,1.979099667874451e-08,2.3987406415869082e-08
1.5371688659014235e-08,1.6151796212377146e-08,1.5023630650969788e-08,1.2460835446207328e-08,1.5260553415051253e-08,1.5936964757490187e-08,1.9600598080227992e-08,2.3816130328921973e-08
1.5199119195178534e-08,1.5749194048560452e-08,1.4653938663078617e-08,1.2209275340419222e-08,1.493826366949963e-08,1.5735908744336396e-08,1.9417718340989013e-08,2.365055691544159e-08
1.5035036138511582e-08,1.5357997674782944e-08,1.4294747517414712e-08,1.1963834366926577e-08,1.4622844035281789e-08,1.5540904944875883e-08,1.924235160710667e-08,2.3490613479006152e-08
1.487956829463724e-08,1.4977803180648186e-08,1.3945676284675558e-08,1.1724315732944631e-08,1.4314011118317872e-08,1.5351883353088652e-08,1.9074482901132747e-08,2.333620903506207e-08
1.47328636792172e-08,1.4608193415445222e-08,1.3606328932052408e-08,1.1490503059670438e-08,1.4011455496206384e-08,1.516875875884045e-08,1.8914086308165145e-08,2.3187231018751343e-08
1.4595093141549793e-08,1.4248734782864921e-08,1.3276291151594978e-08,1.1262157355960278e-08,1.3714837827120842e-08,1.4991428013946853e-08,1.8761122773468696e-08,2.3043541310241143e-08
1.4466454839469373e-08,1.3898973451337127e-08,1.295512660322653e-08,1.1039013409951246e-08,1.3423784239939488e-08,1.4819766720603012e-08,1.861553741366488e-08,2.2904971408952453e-08
1.4347179808353712e-08,1.3558430840621404e-08,1.2642372435422908e-08,1.0820775463669848e-08,1.3137880845777111e-08,1.465362519592093e-08,1.8477256214330894e-08,2.2771316538812204e-08
1.4237538949588278e-08,1.322659820657042e-08,1.2337533908990452e-08,1.0607111998698929e-08,1.285666716915351e-08,1.4492823522510989e-08,1.8346181947592903e-08,2.264232840065561e-08
1.4137851879281734e-08,1.290293009470774e-08,1.2040077899760591e-08,1.0397649412178584e-08,1.2579628242274632e-08,1.4337145435836595e-08,1.8222189089792623e-08,2.25177061985014e-08
1.4048498241752404e-08,1.2586836364697792e-08,1.1749424989939518e-08,1.0191964297484509e-08,1.2306185033849556e-08,1.4186330718321682e-08,1.8105117445747604e-08,2.2397085444093332e-08
1.3969932327723984e-08,1.2277672395250636e-08,1.1464939768999449e-08,9.989573956676833e-09,1.2035682788222006e-08,1.4040065658750738e-08,1.799476408358944e-08,2.2280023874695792e-08
1.3902702181047131e-08,1.1974726952784528e-08,1.1185918844323623e-08,9.789924653381061e-09,1.1767376722415676e-08,1.3897970979877381e-08,1.7890873039585503e-08,2.2165983581737162e-08
1.3847474888548837e-08,1.1677207033083941e-08,1.0911575896121594e-08,9.592376952307092e-09,1.150041435529464e-08,1.3759586416982138e-08,1.7793122045547812e-08,2.2054308110734704e-08
1.3805070520468048e-08,1.1384218742176856e-08,1.064102288093626e-08,9.396187266061046e-09,1.1233813505832952e-08,1.3624350814184481e-08,1.7701105231157592e-08,2.1944192807071213e-08
1.3776508382311205e-08,1.10947429389852e-08,1.0373246164227506e-08,9.200484412930885e-09,1.096643466940036e-08,1.3491576145016582e-08,1.7614310310433907e-08,2.1834645971126112e-08
