Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc
0.0123161240190438,0.0126038604886222,0.0130161402666733,0.015095918822998,0.0173953225831323,0.0153776408550918,0.0147143493807721,0.0144396326364102
0.0120658677538816,0.0122322274871885,0.0125903301067671,0.0145657192255697,0.0168033476680421,0.0149322160310856,0.0142786915433712,0.0140472243639538
0.0118198195959726,0.0118693342855534,0.012175588444902,0.01405017118937,0.0162269708398541,0.0144975704935982,0.0138541990603758,0.0136644295557405
0.011577983312575,0.0115151161210589,0.0117718068587278,0.0135491059394328,0.0156660276036079,0.0140736146458753,0.0134407627299308,0.0132911634255812
0.0113403626709471,0.0111695082310473,0.0113788769258947,0.0130623547007923,0.0151203534643433,0.0136602588911623,0.0130382733501806,0.0129273411872867
0.011106961438347,0.0108324458528606,0.0109966902240524,0.0125897486984823,0.0145897839270999,0.0132574136327047,0.01264662171927,0.0125728780546677
0.0108777833820328,0.0105038642238409,0.0106251383308509,0.012131119157537,0.0140741544969172,0.0128649892737482,0.0122656986353436,0.0122276892415352
0.0106528322692628,0.0101836985813305,0.0102641128239403,0.0116862973029902,0.0135733006788351,0.0124828962175381,0.011895394896546,0.0118916899616999
0.0104321118672952,0.0098718841626714,0.0099135052809703,0.0112551143598761,0.0130870579778931,0.01211104486732,0.0115356013010219,0.0115647954289727
0.0102156259433881,0.0095683562052059,0.0095732072795911,0.0108374015532287,0.0126152618991309,0.0117493456263395,0.0111862086469158,0.0112469208571642
0.0100033782647997,0.009273049946276,0.0092431103974524,0.0104329901080819,0.0121577479475881,0.011397708897842,0.0108471077323724,0.0109379814600855
0.0097953725987883,0.0089859006232238,0.0089231062122043,0.0100417112494698,0.0117143516283045,0.0110560450850731,0.0105181893555364,0.0106378924515471
0.0095916127126119,0.0087068434733915,0.0086130863014967,0.0096633962024264,0.0112849084463196,0.0107242645912783,0.0101993443145524,0.0103465690453601
0.0093921023735289,0.0084358137341213,0.0083129422429796,0.0092978761919856,0.0108692539066732,0.0104022778197031,0.009890463407565,0.0100639264553352
0.0091968453487973,0.0081727466427553,0.0080225656143028,0.0089449824431816,0.0104672235144048,0.010089995173593,0.0095914374327188,0.0097898798952831
0.0090058454056754,0.0079175774366355,0.0077418479931164,0.0086045461810483,0.0100786527745542,0.0097873270561936,0.0093021571881585,0.0095243445790148
0.0088191063114213,0.0076702413531043,0.0074706809570702,0.0082763986306197,0.009703377192161,0.0094941838707503,0.0090225134720287,0.009267235720341
0.0086366318332932,0.0074306736295036,0.0072089560838143,0.0079603710169299,0.0093412322722648,0.0092104760205087,0.008752397082474,0.0090184685330725
0.0084584257385494,0.0071988095031756,0.0069565649509985,0.0076562945650128,0.0089920535199053,0.0089361139087143,0.0084916988176392,0.0087779582310202
0.008284491794448,0.0069745842114625,0.0067133991362728,0.0073640004999025,0.0086556764401222,0.0086710079386126,0.0082403094756687,0.0085456200279948
0.0081148337682471,0.0067579329917064,0.0064793502172872,0.0070833200466329,0.008331936537955,0.0084150685134492,0.0079981198547073,0.0083213691378072
0.007949455427205,0.0065487910812495,0.0062543097716916,0.0068140844302382,0.0080206693184436,0.0081682060364695,0.0077650207528996,0.0081051207742681
0.0077883605385799,0.0063470937174338,0.0060381693771359,0.0065561248757522,0.0077217102866275,0.0079303309109191,0.0075409029683901,0.0078967901511885
0.0076315528696299,0.0061527761376015,0.0058308206112701,0.0063092726082091,0.0074348949475464,0.0077013535400435,0.0073256572993236,0.0076962924823791
0.0074790361876132,0.0059657735790948,0.0056321550517442,0.0060733588526428,0.0071600588062399,0.0074811843270882,0.0071191745438447,0.0075035429816507
0.0073308142597881,0.0057860212792558,0.005442064276208,0.0058482148340873,0.0068970373677477,0.0072697336752987,0.006921345500098,0.0073184568628141
0.0071868908534126,0.0056134544754266,0.0052604398623115,0.0056336717775767,0.0066456661371094,0.0070669119879206,0.0067320609662282,0.0071409493396801
0.0070472697357451,0.0054480084049494,0.0050871733877047,0.0054295609081449,0.0064057806193648,0.0068726296681994,0.0065512117403798,0.0069709356260596
0.0069119546740436,0.0052896183051662,0.0049221564300375,0.005235713450826,0.0061772163195534,0.0066867971193805,0.0063786886206975,0.0068083309357634
0.0067809494355663,0.0051382194134193,0.0047652805669598,0.005051960630654,0.005959808742715,0.0065093247447095,0.006214382405326,0.0066530504826022
0.0066542577875715,0.0049937469670508,0.0046164373761216,0.0048781336726629,0.0057533933938891,0.006340122947432,0.0060581838924098,0.0065050094803869
0.0065318834973174,0.0048561362034028,0.0044755184351728,0.0047140638018867,0.0055578057781155,0.0061791021307934,0.0059099838800936,0.0063641231429283
0.006413830332062,0.0047253223598174,0.0043424153217635,0.0045595822433594,0.0053728814004338,0.0060261726980393,0.0057696731665221,0.0062303066840373
0.0063001020590636,0.0046012406736368,0.0042170196135434,0.0044145202221151,0.0051984557658836,0.0058812450524152,0.0056371425498399,0.0061034753175245
0.0061907024455805,0.0044838263822032,0.0040992228881626,0.0042787089631877,0.0050343643795046,0.0057442295971666,0.0055122828281915,0.0059835442572009
0.0060856352588706,0.0043730147228586,0.0039889167232711,0.0041519796916112,0.0048804427463364,0.005615036735539,0.0053949847997217,0.0058704287168772
0.0059849042661924,0.0042687409329452,0.0038859926965186,0.0040341636324197,0.0047365263714188,0.0054935768707779,0.0052851392625751,0.0057640439103643
0.0058885132348039,0.0041709402498051,0.0037903423855553,0.0039250920106472,0.0046024507597913,0.0053797604061289,0.0051826370148963,0.0056643050514729
