D,D,D,D,D,D,D,D
2.24611668535014e-08,1.7134921096037524e-08,3.902535470760397e-09,1.6098219256677317e-08,1.096419789407286e-08,7.5418438460181e-09,1.6925235830694955e-08,-1.2430005593881336e-08
-1.7086363722443138e-07,-6.830417448833113e-07,6.228522178272623e-09,-1.5649551118800967e-08,-3.2584216763447245e-08,5.248845161434728e-09,1.2907465431893205e-08,-8.328733910065909e-09
-1.9458991656777564e-07,-2.50478740580358e-06,6.145197147693367e-09,-1.597292405103019e-08,-3.539993031624349e-08,5.301705870378567e-09,1.2999461586111126e-08,-8.399041161169912e-09
-2.266682927181981e-07,1.4629951112672598e-06,6.064541590673826e-09,-1.6326426980975736e-08,-3.8828889711130313e-08,5.356611143986505e-09,1.30973058743297e-08,-8.469217147721854e-09
-2.724152777660855e-07,5.603668476667918e-07,5.9865427160082055e-09,-1.671340043607345e-08,-4.3092430886231916e-08,5.4136700513618135e-09,1.3201307852055456e-08,-8.539313268157181e-09
-3.428757843150366e-07,3.443414583143861e-07,5.911187555185282e-09,-1.7137708894357608e-08,-4.853296873689053e-08,5.4729987385603155e-09,1.3311799390350117e-08,-8.6093831152378e-09
-4.65382820293321e-07,2.47374872403504e-07,5.838462959840072e-09,-1.7603847704060483e-08,-5.5709907011483676e-08,5.534721012241568e-09,1.3429136726825866e-08,-8.679482593436586e-09
-7.311170633748633e-07,1.923126001091033e-07,5.768355597982771e-09,-1.8117077295869863e-08,-6.560387775785488e-08,5.598968981372734e-09,1.3553702741354861e-08,-8.74967004598086e-09
-1.7432306048352123e-06,1.568233434403921e-07,5.700851951283004e-09,-1.8683593184033353e-08,-8.010516509376475e-08,5.665883765768668e-09,1.3685909495608718e-08,-8.820006388555577e-09
4.283561624762461e-06,1.3205004125360845e-07,5.635938311565779e-09,-1.9310743396837938e-08,-1.0338692264080177e-07,5.735616276910455e-09,1.3826201066981829e-08,-8.890555252970251e-09
9.493398753757748e-07,1.1377932114774372e-07,5.573600777542023e-09,-2.0007309549378023e-08,-1.4684192035230153e-07,5.808328082702621e-09,1.3975056718647716e-08,-8.961383140184818e-09
5.302458626829829e-07,9.975085753052712e-08,5.513825251355579e-09,-2.078387437706459e-08,-2.5659382351279337e-07,5.884192364790369e-09,1.4132994456700604e-08,-9.03255958396808e-09
3.6617608621164177e-07,8.864325832060294e-08,5.456597435110845e-09,-2.165330845924349e-08,-1.0698692197973902e-06,5.963394981159012e-09,1.4300575023460404e-08,-9.104157325432608e-09
2.786919015987196e-07,7.963239388889951e-08,5.4019028273041325e-09,-2.2631423794721422e-08,4.815538539929262e-07,6.0461356477292646e-09,1.4478406399635704e-08,-9.1762525008157e-09
2.2434087163684402e-07,7.217760049378707e-08,5.349726719340753e-09,-2.3737865002160173e-08,1.9471508488578165e-07,6.132629254320208e-09,1.4667148884882246e-08,-9.248924840894152e-09
1.873137678489674e-07,6.590945501146645e-08,5.300054191383605e-09,-2.4997345448090143e-08,1.2133710634446144e-07,6.223107333572833e-09,1.486752084790018e-08,-9.322257886940115e-09
1.6047867901319465e-07,6.056695435773589e-08,5.252870109246519e-09,-2.6441394779014036e-08,8.7774836190187e-08,6.317819704459107e-09,1.508030525722228e-08,-9.396339219536485e-09
1.4014589742061206e-07,5.5960459755021694e-08,5.2081591197173575e-09,-2.8110883003529813e-08,6.854829720465056e-08,6.417036313165715e-09,1.5306357104980085e-08,-9.471260707277655e-09
1.2421480329620396e-07,5.194886649664794e-08,5.165905647330584e-09,-3.0059755863695446e-08,5.6096296932781166e-08,6.521049302396631e-09,1.554661188655227e-08,-9.547118771464204e-09
1.1140153400023457e-07,4.8425011050029087e-08,5.126093889826403e-09,-3.23607186879817e-08,4.73799679164185e-08,6.630175340464779e-09,1.5802095303808763e-08,-9.624014671631782e-09
1.0087719027643461e-07,4.5306044688040326e-08,5.0887078141919605e-09,-3.5114167358134235e-08,4.0941563718970426e-08,6.7447582500021234e-09,1.60739344052295e-08,-9.70205481381358e-09
9.208270538890614e-08,4.252690757760743e-08,5.053731152493345e-09,-3.846275838151213e-08,3.5994501113229004e-08,6.8651719826078154e-09,1.6363370419996765e-08,-9.78135108026361e-09
8.462730977798588e-08,4.0035797551505256e-08,5.021147397378168e-09,-4.261626063548131e-08,3.2076966859251813e-08,6.9918239924392036e-09,1.6671773595171544e-08,-9.862021187864613e-09
7.822963479683293e-08,3.779095681915513e-08,4.990939797873738e-09,-4.7896281771527776e-08,2.8899983942001837e-08,7.125159075023744e-09,1.7000660404951257e-08,-9.944189072357504e-09
7.26819318649013e-08,3.575835002394588e-08,4.963091354641835e-09,-5.4822264348017017e-08,2.6273473350845115e-08,7.265663744238297e-09,1.7351713589628816e-08,-1.0027985304988034e-08
6.782747240898964e-08,3.390995796090302e-08,4.937584815622869e-09,-6.429125254602494e-08,2.406728066551902e-08,7.413871241642891e-09,1.772680558810169e-08,-1.0113547542565166e-08
6.35457916630024e-08,3.222250454546637e-08,4.914402671027493e-09,-7.799721227646145e-08,2.2189286403084e-08,7.570367283681458e-09,1.812802604210341e-08,-1.0201021014777893e-08
5.974277377558338e-08,3.067649391412661e-08,4.8935271487516725e-09,-9.956866330051725e-08,2.0572458288224743e-08,7.735796680505454e-09,1.855771423012572e-08,-1.0290559051954605e-08
5.6343821319474646e-08,2.9255472950938672e-08,4.874940209356546e-09,-1.3843385068139125e-07,1.91668555265975e-08,7.910870980162023e-09,1.9018497497160382e-08,-1.03823236580581e-08
5.328904482954895e-08,2.7945459960016664e-08,4.858623540971754e-09,-2.2912040555028177e-07,1.7934507878361605e-08,8.096377332852897e-09,1.9513337000483522e-08,-1.0476486132809763e-08
5.052980823869919e-08,2.673449743136635e-08,4.844558554151717e-09,-6.809776563951384e-07,1.6846031827655107e-08,8.293188805896573e-09,2.004558246713381e-08,-1.0573227748103449e-08
4.802620429395401e-08,2.561229852206783e-08,4.832726376781185e-09,6.841054815120881e-07,1.5878333178935785e-08,8.502276434616092e-09,2.061903809110993e-08,-1.0672740484098841e-08
4.5745180403643216e-08,2.456996512160589e-08,4.823107848262815e-09,2.2606877347615746e-07,1.501300979971007e-08,8.724723360030737e-09,2.1238042309769268e-08,-1.077522783239585e-08
4.365912752012748e-08,2.359976116303672e-08,4.815683514539723e-09,1.3488549669163057e-07,1.4235217608878657e-08,8.961741488874473e-09,2.1907565005809442e-08,-1.0880905671239544e-08
4.1744803794938834e-08,2.2694928915509585e-08,4.81043362189686e-09,9.588042495348758e-08,1.3532850289506608e-08,9.214691213342264e-09,2.2633326719212704e-08,-1.0990003223454096e-08
3.99825039290289e-08,2.184953907607504e-08,4.807338111638031e-09,7.424798381964687e-08,1.2895935937314238e-08,9.485104871737825e-09,2.3421945941940463e-08,-1.1102764102402096e-08
3.835541115575313e-08,2.1058367592575254e-08,4.8063766138315975e-09,6.05074666306374e-08,1.2316186529301271e-08,9.774714800056816e-09,2.4281122493487453e-08,-1.1219447460952302e-08
3.6849086679337195e-08,2.031679383940945e-08,4.8075284414533716e-09,5.10147338451505e-08,1.1786656892685149e-08,1.0085487063234712e-08,2.5219867770091506e-08,-1.1340329249306056e-08
3.5451063705148855e-08,1.96207159351146e-08,4.8107725841621485e-09,4.4069846970087803e-08,1.1301483324690112e-08,1.0419662248198322e-08,2.624879642119056e-08,-1.1465703599021566e-08
3.415052189041394e-08,1.89664799316815e-08,4.816087701836615e-09,3.877307825552434e-08,1.0855680978958423e-08,1.0779805112606817e-08,2.738049950682388e-08,-1.1595884344596084e-08
3.2938024233809364e-08,1.8350820295880764e-08,4.823452118249542e-09,3.46036342318814e-08,1.0444985157606294e-08,1.1168865411260834e-08,2.8630026947112594e-08,-1.1731206703136823e-08
3.180530285121115e-08,1.7770809635618982e-08,4.832843814297344e-09,3.123916706729072e-08,1.0065725796998708e-08,1.159025295265128e-08,3.001551856803906e-08,-1.1872029124878118e-08
3.0745083364580906e-08,1.7223816035127304e-08,4.844240421295918e-09,2.8469474735303108e-08,9.714727319774742e-09,1.2047930928488412e-08,3.1559039980949486e-08,-1.2018735342767044e-08
2.975094003064013e-08,1.6707466693916798e-08,4.857619213864631e-09,2.6151633565579864e-08,9.38922806786133e-09,1.2546532921507903e-08,3.3287705356007883e-08,-1.2171736641259293e-08
2.881717548784414e-08,1.6219616805056243e-08,4.872957103017418e-09,2.4185075626461123e-08,9.08681499106002e-09,1.3091510914411085e-08,3.523520887855497e-08,-1.2331474374650781e-08
2.793872039899336e-08,1.5758322812395194e-08,4.890230628581914e-09,2.249698073876402e-08,8.805370322639257e-09,1.3689324323630772e-08,3.744394971964637e-08,-1.2498422764750244e-08
2.711104923518017e-08,1.5321819348579983e-08,4.909415951943382e-09,2.10333241117796e-08,8.543027753121112e-09,1.4347683962944533e-08,3.9968037316155656e-08,-1.2673092021203228e-08
2.6330109262249265e-08,1.4908499270977745e-08,4.9304888483441685e-09,1.975317989757916e-08,8.298136185413184e-09,1.5075870517055573e-08,4.28776340854959e-08,-1.2856031817983498e-08
2.5592260366379163e-08,1.4516896323471278e-08,4.953424698820884e-09,1.862497808775376e-08,8.069229581203865e-09,1.5885155481404637e-08,4.626538548768504e-08,-1.3047835187703362e-08
1.5911546808176242e-08,1.5291853625553183e-08,6.2994942992412134e-09,1.2759223205119444e-08,1.5658092894214684e-08,1.2971239729049454e-08,1.4520703092324471e-08,-1.026707572341809e-07
2.7537010474003413e-08,5.564716666243324e-08,7.793799749907295e-09,2.7970091755246893e-08,1.0790632867122547e-07,1.1863702151553232e-08,1.4649837287253221e-08,-1.935191473796924e-08
2.731991228010265e-08,5.298515024922197e-08,7.734871077387218e-09,2.743604188264693e-08,9.39509274035331e-08,1.1854474954457921e-08,1.4602950729794936e-08,-1.9705973147448384e-08
2.7107433813909044e-08,5.0526581732275264e-08,7.67804943175353e-09,2.6917599582228105e-08,8.305935690657027e-08,1.1847443874405124e-08,1.4559113815176362e-08,-2.0075851301509573e-08
2.6899555691233733e-08,4.8249715555092934e-08,7.623355611637628e-09,2.6414355238268953e-08,7.43242234942621e-08,1.1842667820786586e-08,1.4518384378326524e-08,-2.0462745056589845e-08
2.6696258396522965e-08,4.613580952685694e-08,7.570811031533753e-09,2.5925912017155384e-08,6.716433087337056e-08,1.1840207705905092e-08,1.4480822079165291e-08,-2.0867966756659678e-08
2.6497522288151195e-08,4.41686236281321e-08,7.5204377450212e-09,2.545188537210548e-08,6.119018711815471e-08,1.1840126530817664e-08,1.4446488476862836e-08,-2.129295976947697e-08
2.6303327591553837e-08,4.233401592202743e-08,7.472258468464856e-09,2.499190257174828e-08,5.613098517024638e-08,1.1842489475381413e-08,1.4415447104075649e-08,-2.17393152590337e-08
2.6113654400736664e-08,4.061961434391938e-08,7.426296606436244e-09,2.4545602248209313e-08,5.179259623252016e-08,1.1847363993997184e-08,1.43877635484715e-08,-2.2208791598691933e-08
2.5928482678492026e-08,3.901454822261196e-08,7.38257627777695e-09,2.4112633970490373e-08,4.803222480965397e-08,1.1854819914794324e-08,1.4363505535444398e-08,-2.2703336927685912e-08
2.5747792252430605e-08,3.750922723523571e-08,7.341122343064544e-09,2.3692657829715235e-08,4.474249330970682e-08,1.1864929545592245e-08,1.4342743015968198e-08,-2.3225115461241764e-08
2.557156281464482e-08,3.609515830157128e-08,7.3019604333926655e-09,2.3285344050897456e-08,4.184110221507213e-08,1.1877767784823296e-08,1.4325548259377682e-08,-2.3776538302956382e-08
2.5399773923315712e-08,3.476479302934755e-08,7.265116980478132e-09,2.2890372615971205e-08,3.9263912726986784e-08,1.1893412238379204e-08,1.4311995949612751e-08,-2.436029968146389e-08
2.523240499715253e-08,3.3511399912003504e-08,7.230619248111787e-09,2.2507432905393573e-08,3.696019934797416e-08,1.1911943343460425e-08,1.4302163287053055e-08,-2.4979419768801093e-08
2.5069435317763266e-08,3.232895674537641e-08,7.198495365223382e-09,2.213622335835689e-08,3.4889317700952726e-08,1.193344449844643e-08,1.4296130095864353e-08,-2.5637295502381562e-08
2.4910844026557663e-08,3.1212059592815415e-08,7.168774360283931e-09,2.1776451139861413e-08,3.3018318678190674e-08,1.195800220058171e-08,1.4293978935524453e-08,-2.6337761235087063e-08
2.475661012495811e-08,3.015584543455336e-08,7.141486198000788e-09,2.1427831833655353e-08,3.132020956163673e-08,1.1985706191846494e-08,1.4295795220124193e-08,-2.7085161475487843e-08
2.4606712471571112e-08,2.9155926135307772e-08,7.116661816684927e-09,2.1090089136529208e-08,2.9772666248595962e-08,1.2016649611170858e-08,1.4301667341393413e-08,-2.7884438657610434e-08
2.4461129781748162e-08,2.8208331859549632e-08,7.094333168833645e-09,2.0762954573454e-08,2.8357065747994313e-08,1.2050929158233476e-08,1.4311686801412089e-08,-2.8741239668275974e-08
2.4319840628463464e-08,2.730946239171449e-08,7.07453326251105e-09,2.044616722335797e-08,2.7057749697243263e-08,1.2088645264144514e-08,1.4325948348776695e-08,-2.9662045991078105e-08
2.4182823436537288e-08,2.6456045093221005e-08,7.057296205593966e-09,2.013947345250803e-08,2.5861457006829232e-08,1.2129902274019745e-08,1.4344550125378795e-08,-3.065433381438213e-08
2.4050056485259122e-08,2.5645098474997026e-08,7.0426572517417335e-09,1.9842626663788468e-08,2.4756882002398612e-08,1.2174808638675212e-08,1.4367593818465844e-08,-3.1726772463983205e-08
2.392151790622977e-08,2.4873900526654133e-08,7.030652849172979e-09,1.9555387054561677e-08,2.3734326817197132e-08,1.2223477119235588e-08,1.4395184823297577e-08,-3.2889472310610584e-08
2.3797185680884266e-08,2.4139961085916425e-08,7.021320691454726e-09,1.9277521382442078e-08,2.2785425391341297e-08,1.2276025003237004e-08,1.4427432412869054e-08,-3.41542971748432e-08
2.367703764049753e-08,2.3440997671591457e-08,7.014699771265694e-09,1.900880274485517e-08,2.190292244110669e-08,1.233257433389292e-08,1.4464449918317732e-08,-3.5535261680453854e-08
2.356105146441727e-08,2.277491427346315e-08,7.010830436889445e-09,1.8749010363067e-08,2.1080495030077743e-08,1.2393252153823808e-08,1.4506354918948137e-08,-3.704904179514943e-08
2.3449204678823774e-08,2.2139782691191073e-08,7.009754451499729e-09,1.8497929377988e-08,2.0312607467020812e-08,1.2458190763428248e-08,1.4553269443463078e-08,-3.871563804724044e-08
2.3341474655261855e-08,2.1533826069676543e-08,7.0115150558887164e-09,1.825535065313733e-08,1.9594392481692843e-08,1.2527527996129046e-08,1.4605320181539595e-08,-4.0559247472190145e-08
2.323783860957448e-08,2.095540433664665e-08,7.016157034288376e-09,1.8021070584925916e-08,1.8921553295449127e-08,1.2601407510213138e-08,1.4662638709953121e-08,-4.260942518147735e-08
2.3138273600499124e-08,2.040300128863888e-08,7.023726783893483e-09,1.7794890921103966e-08,1.8290282414258765e-08,1.2679979100197837e-08,1.4725361729276318e-08,-4.490265435722965e-08
2.3042756527699122e-08,1.987521311253625e-08,7.0342723881286904e-09,1.7576618586192827e-08,1.769719391340205e-08,1.276339902773426e-08,1.4793631315921142e-08,-4.74845026590428e-08
2.2951264132202536e-08,1.9370738164033708e-08,7.047843694050346e-09,1.7366065513514726e-08,1.7139266662855074e-08,1.2851830374698774e-08,1.4867595190072246e-08,-5.0412637509223836e-08
2.2863772991832467e-08,1.8888367835528322e-08,7.064492393672424e-09,1.7163048483567846e-08,1.6613796486835823e-08,1.294544341894142e-08,1.4947406997196535e-08,-5.3761127799552666e-08
2.2780259523583844e-08,1.842697839228248e-08,7.084272110545578e-09,1.696738896951979e-08,1.6118355661968206e-08,1.30444160363394e-08,1.5033226609257226e-08,-5.7626721236450846e-08
2.270069997919169e-08,1.7985523649473375e-08,7.107238490394568e-09,1.6778912987220943e-08,1.565075846850556e-08,1.3148934128306578e-08,1.5125220442947322e-08,-6.213824375371111e-08
2.26250704453811e-08,1.7563028396607324e-08,7.133449297741304e-09,1.6597450952129583e-08,1.520903177040807e-08,1.3259192081043492e-08,1.5223561798242483e-08,-6.7471096208003e-08
2.2553346841588734e-08,1.7158582478422166e-08,7.1629645173253935e-09,1.6422837540525286e-08,1.47913897823762e-08,1.3375393253464472e-08,1.5328431217447302e-08,-7.387039380266901e-08
2.248550491891564e-08,1.6771335460353344e-08,7.195846462170041e-09,1.6254911557441704e-08,1.4396212350224984e-08,1.3497750502544182e-08,1.5440016868239767e-08,-8.168942293848976e-08
2.2421520258809573e-08,1.6400491807712962e-08,7.232159887405785e-09,1.6093515807702523e-08,1.4022026182743712e-08,1.3626486743530236e-08,1.555851495043515e-08,-9.145671185019837e-08
2.2361368270649727e-08,1.6045306527752412e-08,7.271972111221144e-09,1.5938496973154392e-08,1.3667488579560332e-08,1.3761835550999192e-08,1.568413012864721e-08,-1.0400006973014909e-07
2.230502419173317e-08,1.5705081217053655e-08,7.315353142861377e-09,1.5789705493425143e-08,1.3331373275489276e-08,1.39040418045279e-08,1.5817075993889752e-08,-1.2069335642223105e-07
2.2252463084369188e-08,1.5379160476506732e-08,7.362375818484907e-09,1.5646995452228978e-08,1.301255808749915e-08,1.4053362380195172e-08,1.5957575556833312e-08,-1.4399563470887937e-07
2.220365983469441e-08,1.506692865152225e-08,7.413115945404116e-09,1.551022446594876e-08,1.2710014100941354e-08,1.4210066894605544e-08,1.6105861770373462e-08,-1.7878632030949567e-07
2.2158589152252523e-08,1.4767806863777304e-08,7.467652454905668e-09,1.537925357873182e-08,1.2422796177334048e-08,1.4374438505196732e-08,1.6262178092909784e-08,-2.3631487769730755e-07
2.211722556639057e-08,1.4481250306268937e-08,7.526067565065553e-09,1.5253947158714742e-08,1.2150034597705832e-08,1.4546774769995261e-08,1.642677908455334e-08,-3.496323351042959e-07
2.2079543426418643e-08,1.4206745772128045e-08,7.588446953607524e-09,1.5134172799879646e-08,1.1890927687113918e-08,1.4727388576109853e-08,1.6599931049501794e-08,-6.76044757656087e-07
