time,time,time,time,time,time,time,time
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
