dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
-1.6757592396496585e-07,4.2503405458964716e-16,-2.536367065942639e-09,0.0005027923680911062,7.0,99.0,0.20400000000000001,2.0
-1.5658474820017218e-07,4.1879543160844893e-16,-2.6745608140141226e-09,0.0005059195828973041,7.0,98.0,0.40800000000000003,2.0
-1.4583292862461444e-07,4.1238702839895396e-16,-2.827804613733507e-09,0.0005088518688775839,7.0,97.0,0.6120000000000001,2.0
-1.3532046523824188e-07,4.0581267007412694e-16,-2.998900937560798e-09,0.0005115933566719422,7.0,96.0,0.8160000000000001,2.0
-1.2504735804108747e-07,3.9907618057925018e-16,-3.1914003368877543e-09,0.0005141481769203762,7.0,95.0,1.02,2.0
-1.1501360703315631e-07,3.921813826919234e-16,-3.409869430308926e-09,0.0005165204602628836,7.0,94.0,1.2240000000000002,2.0
-1.0521921221441796e-07,3.851320980220606e-16,-3.6602830406792075e-09,0.0005187143373394611,7.0,93.0,1.428,2.0
-9.566417358491042e-08,3.779321470118951e-16,-3.9506132008389415e-09,0.0005207339387901062,7.0,92.0,1.6320000000000001,2.0
-8.63484911445957e-08,3.7058534893597437e-16,-4.291740874955268e-09,0.0005225833952548158,7.0,91.0,1.836,2.0
-7.727216489350927e-08,3.6309552190116385e-16,-4.698917422613369e-09,0.0005242668373735876,7.0,90.0,2.04,2.0
-6.84351948316258e-08,3.554664828466478e-16,-5.194205755112089e-09,0.0005257883957864182,7.0,89.0,2.244,2.0
-5.983758095895286e-08,3.47702047543923e-16,-5.810763770387681e-09,0.000527152201133305,7.0,88.0,2.4480000000000004,2.0
-5.1479323275495555e-08,3.3980603059680524e-16,-6.600825515485259e-09,0.0005283623840542454,7.0,87.0,2.652,2.0
-4.336042178124627e-08,3.3178224544142677e-16,-7.651730121890218e-09,0.0005294230751892365,7.0,86.0,2.856,2.0
-3.548087647620499e-08,3.2363450434623633e-16,-9.121378513951864e-09,0.0005303384051782754,7.0,85.0,3.06,2.0
-2.784068736039202e-08,3.1536661841199884e-16,-1.1327544263891271e-08,0.0005311125046613593,7.0,84.0,3.2640000000000002,2.0
-2.043985443375918e-08,3.069823975717969e-16,-1.5018815254612285e-08,0.0005317495042784852,7.0,83.0,3.4680000000000004,2.0
