dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
2.4714264923701676e-07,1.4502338865918229e-15,5.868003321438089e-09,0.0006671373249469658,7.0,1.0,0.20400000000000001,2.0
2.3423065296378938e-07,1.4196596362380808e-15,2.36789491777788e-09,0.0006629070107571377,7.0,2.0,0.40800000000000003,2.0
2.2155881895986936e-07,1.3891599934349592e-15,2.4068846540829537e-09,0.0006589061631863306,7.0,3.0,0.6120000000000001,2.0
2.0912714722528199e-07,1.3587305814166354e-15,2.4477329089749955e-09,0.000655130527213817,7.0,4.0,0.8160000000000001,2.0
1.9693563776004755e-07,1.3283670690198928e-15,2.4905457755930717e-09,0.000651575847818869,7.0,5.0,1.02,2.0
1.8498429056410526e-07,1.2980651706841216e-15,2.5354378748246346e-09,0.0006482378699807601,7.0,6.0,1.2240000000000002,2.0
1.7327310563752602e-07,1.2678206464513152e-15,2.5825332297643618e-09,0.0006451123386787622,7.0,7.0,1.428,2.0
1.6180208298025412e-07,1.2376293019660718e-15,2.631966249853405e-09,0.0006421949988921483,7.0,8.0,1.6320000000000001,2.0
1.5057122259231742e-07,1.2074869884755967e-15,2.6838828415008724e-09,0.0006394815956001909,7.0,9.0,1.836,2.0
1.3958052447371845e-07,1.1773896028296993e-15,2.7384416641346138e-09,0.0006369678737821625,7.0,10.0,2.04,2.0
1.2882998862443441e-07,1.1473330874807972e-15,2.7958155547105874e-09,0.000634649578417336,7.0,11.0,2.244,2.0
1.1831961504449318e-07,1.1173134304839082e-15,2.856193147518637e-09,0.0006325224544849838,7.0,12.0,2.4480000000000004,2.0
1.0804940373387449e-07,1.0873266654966594e-15,2.9197807211857964e-09,0.0006305822469643786,7.0,13.0,2.652,2.0
9.801935469259352e-08,1.0573688717792847e-15,2.9868043111331275e-09,0.0006288247008347927,7.0,14.0,2.856,2.0
8.822946792064269e-08,1.0274361741946177e-15,3.0575121328703948e-09,0.0006272455610754989,7.0,15.0,3.06,2.0
7.867974341798147e-08,9.975247432081003e-16,3.1321773709997527e-09,0.0006258405726657706,7.0,16.0,3.2640000000000002,2.0
6.93701811847137e-08,9.676307948877806e-16,3.211101399966327e-09,0.0006246054805848792,7.0,17.0,3.4680000000000004,2.0
6.03007812207482e-08,9.377505909043127e-16,3.2946175162841823e-09,0.0006235360298120976,7.0,18.0,3.672,2.0
5.147154352609257e-08,9.078804385309519e-16,3.3830952802914485e-09,0.0006226279653266991,7.0,19.0,3.8760000000000003,2.0
4.2882468100787335e-08,8.780166906435626e-16,3.476945585947974e-09,0.0006218770321079556,7.0,20.0,4.08,2.0
3.453355494480464e-08,8.481557457206148e-16,3.5766266057696287e-09,0.0006212789751351401,7.0,21.0,4.284,2.0
2.6424804058144468e-08,8.182940478431805e-16,3.682650792313799e-09,0.0006208295393875254,7.0,22.0,4.488,2.0
1.8556215440837245e-08,7.884280866949396e-16,3.795593161720233e-09,0.0006205244698443834,7.0,23.0,4.692,2.0
1.0927789092842412e-08,7.585543975621774e-16,3.916101141962864e-09,0.0006203595114849871,7.0,24.0,4.896000000000001,2.0
3.5395250141751792e-09,7.286695613337826e-16,4.044906342030172e-09,0.0006203304092886092,7.0,25.0,5.1000000000000005,2.0
-3.6085767951593856e-09,6.987702045012517e-16,4.182838693411708e-09,0.0006204329082345225,7.0,26.0,5.304,2.0
-1.0516516335151146e-08,6.688529991586841e-16,4.330843541604487e-09,0.000620662753301999,7.0,27.0,5.508000000000001,2.0
-1.7184293605843182e-08,6.389146630027865e-16,4.4900024311685476e-09,0.0006210156894703122,7.0,28.0,5.712,2.0
-2.361190860717721e-08,6.089519593328698e-16,4.661558550675184e-09,0.0006214874617187338,7.0,29.0,5.916,2.0
-2.9799361339188706e-08,5.78961697050851e-16,4.846948103031269e-09,0.0006220738150265368,7.0,30.0,6.12,2.0
-3.57466518018802e-08,5.489407306612514e-16,5.04783927705011e-09,0.0006227704943729941,7.0,31.0,6.324000000000001,2.0
-4.14537799952365e-08,5.188859602711982e-16,5.266181058459503e-09,0.0006235732447373778,7.0,32.0,6.5280000000000005,2.0
-4.6920745919257596e-08,4.887943315904242e-16,5.504264906528063e-09,0.0006244778110989609,7.0,33.0,6.732000000000001,2.0
-5.214754957395363e-08,4.586628359312672e-16,5.764803434329363e-09,0.0006254799384370157,7.0,34.0,6.936000000000001,2.0
-5.713419095932966e-08,4.28488510208671e-16,6.051031824964651e-09,0.0006265753717308152,7.0,35.0,7.14,2.0
-6.188067007536795e-08,3.9826843694018313e-16,6.366840036517734e-09,0.0006277598559596318,7.0,36.0,7.344,2.0
-6.638698692206853e-08,3.679997442459577e-16,6.716947281766814e-09,0.000629029136102738,7.0,37.0,7.548,2.0
-7.065314149945668e-08,3.376796058487543e-16,7.10713544181189e-09,0.0006303789571394068,7.0,38.0,7.752000000000001,2.0
-7.467913380750458e-08,3.073052410739367e-16,7.544566022667197e-09,0.0006318050640489104,7.0,39.0,7.956,2.0
-7.846496384621475e-08,2.768739148494752e-16,8.03821775232926e-09,0.0006333032018105214,7.0,40.0,8.16,2.0
-8.201063161561758e-08,2.4638293770594485e-16,8.59950201952105e-09,0.0006348691154035128,7.0,41.0,8.364,2.0
-8.531613711566999e-08,2.1582966577652653e-16,9.243146601611739e-09,0.0006364985498071568,7.0,42.0,8.568,2.0
-8.838148034640243e-08,1.8521150079700519e-16,9.988494819291518e-09,0.0006381872500007265,7.0,43.0,8.772,2.0
-9.120666130780978e-08,1.5452589010577266e-16,1.0861467322060201e-08,0.0006399309609634941,7.0,44.0,8.976,2.0
-9.379167999988195e-08,1.2377032664382503e-16,1.1897617435521826e-08,0.0006417254276747325,7.0,45.0,9.180000000000001,2.0
-9.613653642261638e-08,9.294234895476415e-17,1.3147064097473035e-08,0.000643566395113714,7.0,46.0,9.384,2.0
-9.824123057604855e-08,6.203954118479721e-17,1.4682802116199627e-08,0.0006454496082597116,7.0,47.0,9.588000000000001,2.0
-1.0010576246011763e-07,3.105953308273658e-17,1.6615434880336324e-08,0.0006473708120919976,7.0,48.0,9.792000000000002,2.0
-1.0173013207487687e-07,0.0,1.9120976408648407e-08,0.0006493257515898446,7.0,49.0,9.996,2.0
3.183519892008981e-07,4.386332961872737e-15,1.3778248952937161e-08,0.0011406175519841763,127.0,1.0,0.20400000000000001,2.0
3.0236027377053565e-07,4.291314026572388e-15,5.941760014059655e-09,0.0011344193611139489,127.0,2.0,0.40800000000000003,2.0
2.8663505261022247e-07,4.196682441624678e-15,6.0178221967738534e-09,0.0011285340716626568,127.0,3.0,0.6120000000000001,2.0
2.71176325719918e-07,4.102421496821488e-15,6.097587820269258e-09,0.0011229567471762064,127.0,4.0,0.8160000000000001,2.0
2.559840930996349e-07,4.008514618990857e-15,6.1812427559367916e-09,0.0011176824512005034,127.0,5.0,1.02,2.0
2.410583547493707e-07,3.914945371996966e-15,6.268986149836562e-09,0.0011127062472814538,127.0,6.0,1.2240000000000002,2.0
2.2639911066913545e-07,3.821697456740152e-15,6.361031629355204e-09,0.0011080231989649635,127.0,7.0,1.428,2.0
2.12006360858914e-07,3.7287547111569075e-15,6.457608643849137e-09,0.0011036283697969382,127.0,8.0,1.6320000000000001,2.0
1.9788010531870126e-07,3.636101110219875e-15,6.558963957099499e-09,0.0010995168233232842,127.0,9.0,1.836,2.0
1.840203440485251e-07,3.5437207659378458e-15,6.665363311907547e-09,0.0010956836230899072,127.0,10.0,2.04,2.0
1.7042707704838306e-07,3.451597927355761e-15,6.7770932904593245e-09,0.0010921238326427123,127.0,11.0,2.244,2.0
1.571003043182446e-07,3.3597169805547154e-15,6.894463397973104e-09,0.001088832515527606,127.0,12.0,2.4480000000000004,2.0
1.4404002585812757e-07,3.268062448651959e-15,7.017808401455397e-09,0.0010858047352904942,127.0,13.0,2.652,2.0
1.3124624166803192e-07,3.176618991800888e-15,7.1474909606387135e-09,0.0010830355554772829,127.0,14.0,2.856,2.0
1.1871895174797033e-07,3.0853714071910513e-15,7.283904594856535e-09,0.0010805200396338775,127.0,15.0,3.06,2.0
1.0645815609789718e-07,2.9943046290481546e-15,7.427477036725051e-09,0.0010782532513061841,127.0,16.0,3.2640000000000002,2.0
9.446385471788344e-08,2.9034037286340455e-15,7.57867403311864e-09,0.0010762302540401087,127.0,17.0,3.4680000000000004,2.0
8.27360476078835e-08,2.8126539142467287e-15,7.738003663953268e-09,0.0010744461113815567,127.0,18.0,3.672,2.0
7.127473476788973e-08,2.72204053122036e-15,7.906021264001882e-09,0.0010728958868764342,127.0,19.0,3.8760000000000003,2.0
6.007991619790974e-08,2.6315490619252502e-15,8.083335047320173e-09,0.0010715746440706476,127.0,20.0,4.08,2.0
4.915159189797903e-08,2.5411651257678515e-15,8.270612554751123e-09,0.001070477446510102,127.0,21.0,4.284,2.0
3.848976186804689e-08,2.4508744791907797e-15,8.468588068238647e-09,0.0010695993577407032,127.0,22.0,4.488,2.0
2.809442610814882e-08,2.3606630156727917e-15,8.6780711659161e-09,0.001068935441308358,127.0,23.0,4.692,2.0
1.7965584618269598e-08,2.2705167657288036e-15,8.899956627227564e-09,0.0010684807607589711,127.0,24.0,4.896000000000001,2.0
8.103237398404166e-09,2.180421896909876e-15,9.135235944385742e-09,0.0010682303796384495,127.0,25.0,5.1000000000000005,2.0
-1.492615551439877e-09,2.0903647138032265e-15,9.385010751765773e-09,0.001068179361492698,127.0,26.0,5.304,2.0
-1.0821974231239721e-08,2.000331658032224e-15,9.650508557029145e-09,0.0010683227698676228,127.0,27.0,5.508000000000001,2.0
-1.988483864106633e-08,1.910309308256386e-15,9.933101247573471e-09,0.0010686556683091306,127.0,28.0,5.712,2.0
-2.868120878082086e-08,1.8202843801713817e-15,1.0234326961543322e-08,0.0010691731203631262,127.0,29.0,5.916,2.0
-3.72110846505692e-08,1.7302437265090359e-15,1.0555916057545425e-08,0.0010698701895755153,127.0,30.0,6.12,2.0
-4.547446625031644e-08,1.640174337037318e-15,1.089982211089863e-08,0.0010707419394922048,127.0,31.0,6.324000000000001,2.0
-5.3471353580029606e-08,1.5500633385603549e-15,1.1268259106533556e-08,0.0010717834336591001,127.0,32.0,6.5280000000000005,2.0
-6.120174663972645e-08,1.4598979949184216e-15,1.1663746325140831e-08,0.0010729897356221072,127.0,33.0,6.732000000000001,2.0
-6.866564542936897e-08,1.3696657069879467e-15,1.2089162845520934e-08,0.001074355908927131,127.0,34.0,6.936000000000001,2.0
-7.586304994904331e-08,1.2793540126815065e-15,1.2547814154334405e-08,0.0010758770171200786,127.0,35.0,7.14,2.0
-8.279396019866079e-08,1.1889505869478356e-15,1.3043514124087858e-08,0.001077548123746855,127.0,36.0,7.344,2.0
-8.945837617826701e-08,1.0984432417718143e-15,1.3580686657763081e-08,0.0010793642923533665,127.0,37.0,7.548,2.0
-9.585629788786451e-08,1.007819926174475e-15,1.4164492738539702e-08,0.0010813205864855194,127.0,38.0,7.752000000000001,2.0
-1.0198772532741529e-07,9.17068726213003e-16,1.480099061045416e-08,0.0010834120696892183,127.0,39.0,7.956,2.0
-1.0785265849695988e-07,8.261778649807359e-16,1.549733962941725e-08,0.0010856338055103703,127.0,40.0,8.16,2.0
-1.1345109739649068e-07,7.351357026071608e-16,1.6262062336914174e-08,0.0010879808574948808,127.0,41.0,8.364,2.0
-1.1878304202598234e-07,6.43930736257917e-16,1.7105385124364855e-08,0.0010904482891886554,127.0,42.0,8.568,2.0
-1.2384849238546783e-07,5.525516001347951e-16,1.8039686432225455e-08,0.0010930311641376002,127.0,43.0,8.772,2.0
-1.2864744847493194e-07,4.609870654757378e-16,1.908009428552244e-08,0.0010957245458876213,127.0,44.0,8.976,2.0
-1.3317991029435943e-07,3.692260405548386e-16,2.0245294627212067e-08,0.001098523497984624,127.0,45.0,9.180000000000001,2.0
-1.374458778437681e-07,2.7725757068234283e-16,2.1558642630848033e-08,0.0011014230839745142,127.0,46.0,9.384,2.0
-1.4144535112318576e-07,1.8507083820464708e-16,2.304971830968659e-08,0.0011044183674031986,127.0,47.0,9.588000000000001,2.0
-1.4517833013254402e-07,9.265516250429961e-17,2.4756548447947143e-08,0.001107504411816582,127.0,48.0,9.792000000000002,2.0
-1.4864481487190623e-07,0.0,2.6728853426698432e-08,0.0011106762807605712,127.0,49.0,9.996,2.0
4.585448759089341e-07,7.231221020580381e-15,1.5769930928235874e-08,0.0019174341912524503,247.0,1.0,0.20400000000000001,2.0
4.3727694251308225e-07,7.075273327955886e-15,7.332526847902948e-09,0.0019085505568855966,247.0,2.0,0.40800000000000003,2.0
4.1629303483636316e-07,6.919855829868312e-15,7.40650885821445e-09,0.0019000777629613209,247.0,3.0,0.6120000000000001,2.0
3.955931528787565e-07,6.7649488230751666e-15,7.483472954599196e-09,0.0018920109497934635,247.0,4.0,0.8160000000000001,2.0
3.7517729664026727e-07,6.610532588895932e-15,7.563544353732264e-09,0.0018843452576958646,247.0,5.0,1.02,2.0
3.5504546612084996e-07,6.45658739321207e-15,7.646855338633015e-09,0.0018770758269823669,247.0,6.0,1.2240000000000002,2.0
3.351976613205957e-07,6.3030934864670294e-15,7.733545764369596e-09,0.0018701977979668084,247.0,7.0,1.428,2.0
3.156338822394133e-07,6.15003110366622e-15,7.823763607514559e-09,0.0018637063109630317,247.0,8.0,1.6320000000000001,2.0
2.9635412887731805e-07,5.99738046437705e-15,7.91766556460659e-09,0.0018575965062848777,247.0,9.0,1.836,2.0
2.773584012343706e-07,5.845121772728901e-15,8.015417703921337e-09,0.001851863524246186,247.0,10.0,2.04,2.0
2.5864669931056605e-07,5.693235217413132e-15,8.117196176716727e-09,0.001846502505160797,247.0,11.0,2.244,2.0
2.40219023105813e-07,5.541700971683083e-15,8.223187994314995e-09,0.0018415085893425528,247.0,12.0,2.4480000000000004,2.0
2.220753726201978e-07,5.390499193354071e-15,8.33359187826553e-09,0.0018368769171052928,247.0,13.0,2.652,2.0
2.042157478536544e-07,5.239610024803397e-15,8.448619191223807e-09,0.0018326026287628593,247.0,14.0,2.856,2.0
1.8664014880627922e-07,5.089013592970337e-15,8.568494958671158e-09,0.001828680864629091,247.0,15.0,3.06,2.0
1.693485754779657e-07,4.9386900093561465e-15,8.6934589906893e-09,0.0018251067650178305,247.0,16.0,3.2640000000000002,2.0
1.523410278687748e-07,4.788619370024066e-15,8.823767116840651e-09,0.0018218754702429177,247.0,17.0,3.4680000000000004,2.0
1.3561750597873174e-07,4.638781755599313e-15,8.959692546219231e-09,0.0018189821206181923,247.0,18.0,3.672,2.0
1.1917800980773521e-07,4.489157231269076e-15,9.101527368838268e-09,0.001816421856457497,247.0,19.0,3.8760000000000003,2.0
1.0302253935587137e-07,4.3397258467825345e-15,9.249584215562225e-09,0.0018141898180746715,247.0,20.0,4.08,2.0
8.71510946231453e-08,4.19046763645084e-15,9.404198095711614e-09,0.0018122811457835562,247.0,21.0,4.284,2.0
7.156367560950629e-08,4.041362619147127e-15,9.565728436070507e-09,0.0018106909798979922,247.0,22.0,4.488,2.0
5.626028231496956e-08,3.8923907983065105e-15,9.734561346848428e-09,0.0018094144607318202,247.0,23.0,4.692,2.0
4.12409147395503e-08,3.7435321619260795e-15,9.911112144565488e-09,0.001808446728598881,247.0,24.0,4.896000000000001,2.0
2.6505572883238393e-08,3.594766682564908e-15,1.0095828166853647e-08,0.0018077829238130152,247.0,25.0,5.1000000000000005,2.0
1.2054256746038895e-08,3.446074317344051e-15,1.028919191921244e-08,0.0018074181866880635,247.0,26.0,5.304,2.0
-2.113033672027915e-09,3.2974350079465342e-15,1.049172460020758e-08,0.0018073476575378663,247.0,27.0,5.508000000000001,2.0
-1.5996298371048204e-08,3.1488286806173674e-15,1.0703990059316062e-08,0.0018075664766762653,247.0,28.0,5.712,2.0
-2.9595537350885123e-08,3.0002352461635415e-15,1.0926599251188971e-08,0.0018080697844170999,247.0,29.0,5.916,2.0
-4.2910750611634966e-08,2.851634599954025e-15,1.1160215259004285e-08,0.0018088527210742113,247.0,30.0,6.12,2.0
-5.594193815331802e-08,2.703006621919766e-15,1.1405558976021217e-08,0.001809910426961441,247.0,31.0,6.324000000000001,2.0
-6.868909997584304e-08,2.5543311765536935e-15,1.1663415545831838e-08,0.0018112380423926286,247.0,32.0,6.5280000000000005,2.0
-8.11522360792962e-08,2.4055881129107138e-15,1.193464168314486e-08,0.001812830707681616,247.0,33.0,6.732000000000001,2.0
-9.333134646355584e-08,2.256757264607713e-15,1.2220174019881674e-08,0.0018146835631422417,247.0,34.0,6.936000000000001,2.0
-1.0522643112882979e-07,2.107818449823558e-15,1.2521038645396206e-08,0.0018167917490883494,247.0,35.0,7.14,2.0
-1.1683749007491022e-07,1.9587514712990925e-15,1.2838362049207102e-08,0.0018191504058337779,247.0,36.0,7.344,2.0
-1.2816452330188334e-07,1.809536116337142e-15,1.3173383707096705e-08,0.0018217546736923676,247.0,37.0,7.548,2.0
-1.3920753080979976e-07,1.6601521568025103e-15,1.3527470612289484e-08,0.001824599692977961,247.0,38.0,7.752000000000001,2.0
-1.4996651259855817e-07,1.5105793491219827e-15,1.3902134106854759e-08,0.0018276806040043974,247.0,39.0,7.956,2.0
-1.6044146866820923e-07,1.3607974342843198e-15,1.4299049451063947e-08,0.0018309925470855173,247.0,40.0,8.16,2.0
-1.7063239901878844e-07,1.2107861378402653e-15,1.4720078666373036e-08,0.0018345306625351628,247.0,41.0,8.364,2.0
-1.805393036502096e-07,1.0605251699025398e-15,1.5167297307087356e-08,0.0018382900906671732,247.0,42.0,8.568,2.0
-1.901621825625437e-07,9.099942251458462e-16,1.5643025972586124e-08,0.0018422659717953897,247.0,43.0,8.772,2.0
-1.9950103575579072e-07,7.591729828068633e-16,1.6149867571324788e-08,0.0018464534462336536,247.0,44.0,8.976,2.0
-2.085558632299e-07,6.08041106684252e-16,1.669075159684123e-08,0.0018508476542958056,247.0,45.0,9.180000000000001,2.0
-2.173266649848766e-07,4.565782451386515e-16,1.7268987006764762e-08,0.0018554437362956848,247.0,46.0,9.384,2.0
-2.258134410208016e-07,3.0476403109268083e-16,1.7888325720312718e-08,0.0018602368325471338,247.0,47.0,9.588000000000001,2.0
-2.3401619133757363e-07,1.525780820309377e-16,1.855303930811729e-08,0.0018652220833639923,247.0,48.0,9.792000000000002,2.0
-2.4193491593526364e-07,0.0,1.9268012184114408e-08,0.0018703946290601014,247.0,49.0,9.996,2.0
5.787822060346877e-07,8.420515460312339e-15,1.454867715785941e-08,0.002801844802947093,367.0,1.0,0.20400000000000001,2.0
5.540257613986506e-07,8.242795478003884e-15,7.178736079483517e-09,0.0027916199070030776,367.0,2.0,0.40800000000000003,2.0
5.294770693645992e-07,8.065342708294154e-15,7.228603848367357e-09,0.0027818308630602447,367.0,3.0,0.6120000000000001,2.0
5.051361299324927e-07,7.888151864566157e-15,7.2795400613945224e-09,0.00277247536534934,367.0,4.0,0.8160000000000001,2.0
4.81002943102402e-07,7.7112171466106e-15,7.33159359355491e-09,0.0027635511081011074,367.0,5.0,1.02,2.0
4.570775088741547e-07,7.53453224062587e-15,7.3848150173228555e-09,0.0027550557855462936,367.0,6.0,1.2240000000000002,2.0
4.3335982724796404e-07,7.358090319218029e-15,7.439256677305347e-09,0.002746987091915643,367.0,7.0,1.428,2.0
4.098498982236472e-07,7.18188404140082e-15,7.494972768099564e-09,0.002739342721439901,367.0,8.0,1.6320000000000001,2.0
3.8654772180132607e-07,7.0059055525956706e-15,7.552019417232634e-09,0.0027321203683498114,367.0,9.0,1.836,2.0
3.634532979809498e-07,6.8301464846316665e-15,7.610454771724221e-09,0.002725317726876121,367.0,10.0,2.04,2.0
3.405666267625692e-07,6.6545979557456164e-15,7.670339089988085e-09,0.002718932491249574,367.0,11.0,2.244,2.0
3.178877081460624e-07,6.479250570581964e-15,7.73173483836336e-09,0.0027129623557009164,367.0,12.0,2.4480000000000004,2.0
2.9541654213161223e-07,6.304094420192863e-15,7.79470679342876e-09,0.0027074050144608912,367.0,13.0,2.652,2.0
2.7315312871897506e-07,6.1291190820381246e-15,7.859322149379808e-09,0.002702258161760247,367.0,14.0,2.856,2.0
2.510974679084856e-07,5.954313619985268e-15,7.925650632499801e-09,0.0026975194918297243,367.0,15.0,3.06,2.0
2.2924955969974846e-07,5.77966658430946e-15,7.993764620723064e-09,0.002693186698900073,367.0,16.0,3.2640000000000002,2.0
2.0760940409307786e-07,5.605166011693573e-15,8.063739271916156e-09,0.0026892574772020353,367.0,17.0,3.4680000000000004,2.0
1.861770010884029e-07,5.4307994252281495e-15,8.135652657678652e-09,0.0026857295209663555,367.0,18.0,3.672,2.0
1.6495235068556132e-07,5.256553834411408e-15,8.20958590646155e-09,0.0026826005244237816,367.0,19.0,3.8760000000000003,2.0
1.439354528847559e-07,5.08241573514925e-15,8.285623354721941e-09,0.002679868181805057,367.0,20.0,4.08,2.0
1.2312630768590554e-07,4.908371109755275e-15,8.363852706625863e-09,0.002677530187340926,367.0,21.0,4.284,2.0
1.0252491508895954e-07,4.7344054269507295e-15,8.444365204240353e-09,0.002675584235262136,367.0,22.0,4.488,2.0
8.213127509400917e-08,4.56050364186456e-15,8.527255807655169e-09,0.002674028019799431,367.0,23.0,4.692,2.0
6.194538770102397e-08,4.386650196033393e-15,8.612623386157546e-09,0.002672859235183554,367.0,24.0,4.896000000000001,2.0
4.196725290995328e-08,4.21282901740153e-15,8.700570921643477e-09,0.0026720755756452536,367.0,25.0,5.1000000000000005,2.0
2.219687072085793e-08,4.039023520320951e-15,8.791205724714992e-09,0.0026716747354152727,367.0,26.0,5.304,2.0
2.634241133717631e-09,3.865216605551322e-15,8.884639664387597e-09,0.0026716544087243576,367.0,27.0,5.508000000000001,2.0
-1.6720635851477747e-08,3.6913906602599866e-15,8.980989412864562e-09,0.0026720122898032527,367.0,28.0,5.712,2.0
-3.586776023468766e-08,3.517527558021969e-15,9.080376706095767e-09,0.0026727460728827026,367.0,29.0,5.916,2.0
-5.480713201596279e-08,3.3436086588199676e-15,9.18292862142083e-09,0.002673853452193453,367.0,30.0,6.12,2.0
-7.35387511953234e-08,3.1696148090443725e-15,9.288777873901567e-09,0.00267533212196625,367.0,31.0,6.324000000000001,2.0
-9.206261777267829e-08,2.99552634149324e-15,9.398063132453814e-09,0.0026771797764318377,367.0,32.0,6.5280000000000005,2.0
-1.103787317480781e-07,2.821323075372315e-15,9.510929357335075e-09,0.0026793941098209604,367.0,33.0,6.732000000000001,2.0
-1.2848709312149247e-07,2.6469843162950243e-15,9.627528161286e-09,0.0026819728163643636,367.0,34.0,6.936000000000001,2.0
-1.4638770189306326e-07,2.4724888562824664e-15,9.748018195318943e-09,0.002684913590292794,367.0,35.0,7.14,2.0
-1.6408055806260805e-07,2.2978149737634267e-15,9.872565562348877e-09,0.0026882141258369953,367.0,36.0,7.344,2.0
