dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
7.108516210926836e-08,1.2180386438413497e-15,1.7134921096037524e-08,0.0007034635274238893,7.0,1.0,0.20400000000000001,2.0
7.112972933181719e-08,1.187597370386994e-15,-6.830417448833113e-07,0.0007016062075419082,7.0,2.0,0.40800000000000003,2.0
7.114178158405299e-08,1.1574090407751915e-15,-2.50478740580358e-06,0.0006997522296649172,7.0,3.0,0.6120000000000001,2.0
7.112131886596057e-08,1.1274721842427385e-15,1.4629951112672598e-06,0.000697902368419346,7.0,4.0,0.8160000000000001,2.0
7.106834117755767e-08,1.0977852439957338e-15,5.603668476667918e-07,0.0006960573984316241,7.0,5.0,1.02,2.0
7.098284851881639e-08,1.0683465772095861e-15,3.443414583143861e-07,0.0006942180943281816,7.0,6.0,1.2240000000000002,2.0
7.086484088975956e-08,1.0391544550290134e-15,2.4737487240350396e-07,0.0006923852307354479,7.0,7.0,1.428,2.0
7.071431829038464e-08,1.0102070625680407e-15,1.923126001091033e-07,0.000690559582279853,7.0,8.0,1.6320000000000001,2.0
7.053128072066882e-08,9.815024989100029e-16,1.5682334344039207e-07,0.0006887419235878265,7.0,9.0,1.836,2.0
7.031572818064503e-08,9.530387771075417e-16,1.3205004125360845e-07,0.0006869330292857982,7.0,10.0,2.04,2.0
7.006766067030823e-08,9.248138241826094e-16,1.1377932114774372e-07,0.0006851336740001977,7.0,11.0,2.244,2.0
6.978707818962547e-08,8.968254811264615e-16,9.975085753052712e-08,0.0006833446323574547,7.0,12.0,2.4480000000000004,2.0
6.947398073864489e-08,8.690715028996674e-16,8.864325832060294e-08,0.0006815666789839989,7.0,13.0,2.652,2.0
6.91283683173234e-08,8.415495584320986e-16,7.963239388889951e-08,0.0006798005885062602,7.0,14.0,2.856,2.0
6.875024092568889e-08,8.14257230622945e-16,7.217760049378707e-08,0.0006780471355506679,7.0,15.0,3.06,2.0
6.833959856371602e-08,7.871920163406915e-16,6.590945501146645e-08,0.0006763070947436525,7.0,16.0,3.2640000000000002,2.0
6.789644123143518e-08,7.603513264231422e-16,6.056695435773588e-08,0.0006745812407116432,7.0,17.0,3.4680000000000004,2.0
6.742076892884387e-08,7.337324856774028e-16,5.596045975502169e-08,0.0006728703480810694,7.0,18.0,3.672,2.0
6.691258165589898e-08,7.073327328798931e-16,5.194886649664794e-08,0.0006711751914783615,7.0,19.0,3.8760000000000003,2.0
6.637187941266134e-08,6.811492207763348e-16,4.842501105002908e-08,0.0006694965455299487,7.0,20.0,4.08,2.0
6.579866219907774e-08,6.551790160817622e-16,4.530604468804032e-08,0.0006678351848622609,7.0,21.0,4.284,2.0
6.519293001518365e-08,6.29419099480516e-16,4.2526907577607425e-08,0.0006661918841017281,7.0,22.0,4.488,2.0
6.455468286096131e-08,6.038663656262462e-16,4.003579755150525e-08,0.0006645674178747797,7.0,23.0,4.692,2.0
6.388392073642343e-08,5.785176231419103e-16,3.779095681915513e-08,0.0006629625608078455,7.0,24.0,4.896000000000001,2.0
6.31806436415548e-08,5.53369594619774e-16,3.575835002394588e-08,0.0006613780875273552,7.0,25.0,5.1000000000000005,2.0
6.24448515763706e-08,5.284189166214117e-16,3.390995796090302e-08,0.0006598147726597384,7.0,26.0,5.304,2.0
6.167654454087084e-08,5.036621396777069e-16,3.222250454546637e-08,0.0006582733908314248,7.0,27.0,5.508000000000001,2.0
6.087572253501751e-08,4.790957282888487e-16,3.067649391412661e-08,0.0006567547166688447,7.0,28.0,5.712,2.0
6.004238555887649e-08,4.547160609243379e-16,2.925547295093867e-08,0.0006552595247984271,7.0,29.0,5.916,2.0
