dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
8.026215461289112e-07,4.198447916215671e-15,5.23091852749907e-09,0.0019844332940557657,17.0,99.0,0.6188000000000001,3.0
7.807663056014483e-07,4.0229749925270456e-15,8.028871769593624e-09,0.0019379482686433017,17.0,98.0,1.2376000000000003,3.0
7.590994054796682e-07,3.854270539852739e-15,7.786275458237846e-09,0.00189278660751386,17.0,97.0,1.8564000000000005,3.0
7.376208457636045e-07,3.692104274838337e-15,7.550146153101592e-09,0.0018489360472918612,17.0,96.0,2.4752000000000005,3.0
7.163306264532219e-07,3.536248855839875e-15,7.320517310146081e-09,0.0018063843246017297,17.0,95.0,3.0940000000000003,3.0
6.952287475485105e-07,3.3864798829237987e-15,7.0974235797854785e-09,0.0017651191760678889,17.0,94.0,3.712800000000001,3.0
6.743152090495254e-07,3.242575897866992e-15,6.880900860645379e-09,0.0017251283383147608,17.0,93.0,4.331600000000001,3.0
6.535900109562233e-07,3.1043183841567517e-15,6.670986356213487e-09,0.0016863995479667682,17.0,92.0,4.950400000000001,3.0
6.330531532686057e-07,2.9714917669908e-15,6.467718634776238e-09,0.001648920541648335,17.0,91.0,5.5692,3.0
6.127046359866877e-07,2.8438834132772995e-15,6.271137692518503e-09,0.0016126790559838839,17.0,90.0,6.188000000000001,3.0
5.925444591104725e-07,2.7212836316348094e-15,6.081285020228802e-09,0.0015776628275978367,17.0,89.0,6.8068,3.0
5.72572622639942e-07,2.6034856723923347e-15,5.8982036737728925e-09,0.0015438595931146176,17.0,88.0,7.425600000000002,3.0
5.527891265751027e-07,2.490285727589294e-15,5.721938348613127e-09,0.0015112570891586492,17.0,87.0,8.044400000000001,3.0
5.331939709159529e-07,2.3814829309755386e-15,5.5525354585765065e-09,0.0014798430523543546,17.0,86.0,8.663200000000002,3.0
5.137871556625161e-07,2.2768793580113327e-15,5.3900432192593375e-09,0.0014496052193261558,17.0,85.0,9.282000000000002,3.0
4.945686808147488e-07,2.176280025867371e-15,5.234511736275934e-09,0.0014205313266984776,17.0,84.0,9.900800000000002,3.0
4.755385463726927e-07,2.079492893424777e-15,5.085993098855728e-09,0.0013926091110957413,17.0,83.0,10.519600000000002,3.0
4.5669675233632293e-07,1.986328861275091e-15,4.944541478898144e-09,0.0013658263091423704,17.0,82.0,11.1384,3.0
4.3804329870564935e-07,1.8966017717202762e-15,4.810213236184225e-09,0.0013401706574627875,17.0,81.0,11.757200000000001,3.0
4.195781854806637e-07,1.8101284087727265e-15,4.683067029913486e-09,0.0013156298926814164,17.0,80.0,12.376000000000001,3.0
4.013014126613792e-07,1.7267284981552533e-15,4.563163937206401e-09,0.0012921917514226795,17.0,79.0,12.9948,3.0
3.832129802477877e-07,1.6462247073010967e-15,4.450567578960941e-09,0.0012698439703109994,17.0,78.0,13.6136,3.0
3.6531288823988415e-07,1.568442645353922e-15,4.345344253696071e-09,0.0012485742859707995,17.0,77.0,14.2324,3.0
3.4760113663767e-07,1.4932108631678144e-15,4.247563079910344e-09,0.001228370435026503,17.0,76.0,14.851200000000004,3.0
3.300777254411639e-07,1.4203608533072857e-15,4.15729614762757e-09,0.0012092201541025322,17.0,75.0,15.470000000000004,3.0
3.127426546503457e-07,1.3497270500472755e-15,4.0746186798050125e-09,0.0011911111798233104,17.0,74.0,16.088800000000003,3.0
2.9559592426521365e-07,1.281146829373133e-15,3.999609204423524e-09,0.0011740312488132607,17.0,73.0,16.707600000000003,3.0
2.7863753428578623e-07,1.2144605089806492e-15,3.932349737998849e-09,0.0011579680976968052,17.0,72.0,17.326400000000003,3.0
2.6186748471204166e-07,1.149511348276028e-15,3.872925981465582e-09,0.0011429094630983681,17.0,71.0,17.945200000000003,3.0
2.452857755440017e-07,1.086145548375903e-15,3.821427529452638e-09,0.0011288430816423715,17.0,70.0,18.564000000000004,3.0
2.2889240678164296e-07,1.0242122521073272e-15,3.777948093913586e-09,0.0011157566899532387,17.0,69.0,19.182800000000004,3.0
2.1268737842499047e-07,9.63563544007784e-16,3.7425857434335064e-09,0.0011036380246553922,17.0,68.0,19.801600000000004,3.0
1.9667069047402255e-07,9.040544503251757e-16,3.7154431593338232e-09,0.0010924748223732556,17.0,67.0,20.4204,3.0
1.8084234292875587e-07,8.455429390178283e-16,3.6966279101474953e-09,0.001082254819731251,17.0,66.0,21.039200000000005,3.0
1.652023357891704e-07,7.87889919754499e-16,3.686252745844809e-09,0.0010729657533538022,17.0,65.0,21.658,3.0
1.4975066905529287e-07,7.309592439143596e-16,3.6844359136558285e-09,0.0010645953598653315,17.0,64.0,22.2768,3.0
1.3448734272709989e-07,6.746177045870117e-16,3.691301497189313e-09,0.0010571313758902625,17.0,63.0,22.895600000000005,3.0
1.1941235680460314e-07,6.187350365724808e-16,3.706979781064733e-09,0.0010505615380530177,17.0,62.0,23.514400000000002,3.0
1.0452571128779596e-07,5.631839163812147e-16,3.731607643142193e-09,0.0010448735829780202,17.0,61.0,24.133200000000002,3.0
8.982740617669003e-08,5.078399622340847e-16,3.765328976965681e-09,0.0010400552472896926,17.0,60.0,24.752000000000002,3.0
7.5317441471272e-08,4.525817340623891e-16,3.8082951470627725e-09,0.0010360942676124582,17.0,59.0,25.370800000000006,3.0
6.099581717155355e-08,3.9729073350784885e-16,3.860665480215625e-09,0.0010329783805707398,17.0,58.0,25.9896,3.0
