dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
1.379725868092194e-06,7.163728176968908e-15,5.192138773823601e-09,0.0019658698704378137,7.0,99.0,0.272,1.0
1.3383613068729816e-06,6.890299315564523e-15,6.610220279029264e-09,0.0019193891265739261,7.0,98.0,0.544,1.0
1.2975606590251763e-06,6.625179493449819e-15,6.497931677547259e-09,0.0018742721782989739,7.0,97.0,0.8160000000000001,1.0
1.2573239245487359e-06,6.368141771477435e-15,6.388135750004394e-09,0.0018305011391014136,7.0,96.0,1.088,1.0
1.2176511034437252e-06,6.1189618490052346e-15,6.280872283134139e-09,0.0017880581224696973,7.0,95.0,1.36,1.0
1.1785421957100604e-06,5.8774180638962885e-15,6.176183358376595e-09,0.0017469252418922823,7.0,94.0,1.6320000000000001,1.0
1.139997201347833e-06,5.643291392518882e-15,6.074113519830785e-09,0.0017070846108576212,7.0,93.0,1.9040000000000001,1.0
1.1020161203570011e-06,5.4163654497465115e-15,5.974709956969023e-09,0.0016685183428541684,7.0,92.0,2.176,1.0
1.064598952737519e-06,5.19642648895789e-15,5.878022704051624e-09,0.0016312085513703802,7.0,91.0,2.4480000000000004,1.0
1.0277456984894663e-06,4.983263402036942e-15,5.78410485777418e-09,0.0015951373498947102,7.0,90.0,2.72,1.0
9.914563576128132e-07,4.776667719372803e-15,5.693012815150177e-09,0.0015602868519156122,7.0,89.0,2.992,1.0
9.557309301075287e-07,4.576433609859823e-15,5.604806534039687e-09,0.001526639170921542,7.0,88.0,3.2640000000000002,1.0
9.205694159736662e-07,4.3823578808975644e-15,5.519549818685217e-09,0.0014941764204009533,7.0,87.0,3.5360000000000005,1.0
8.859718152111651e-07,4.194239978390801e-15,5.43731063313085e-09,0.0014628807138423014,7.0,86.0,3.8080000000000003,1.0
8.519381278200974e-07,4.011881986749521e-15,5.3581614459190375e-09,0.00143273416473404,7.0,85.0,4.08,1.0
