dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
9.654897743460074e-09,1.2641800521929937e-16,1.3093665886304282e-08,0.00038325237821363505,7.0,99.0,0.20400000000000001,2.0
7.270734511021122e-09,1.2191765035777262e-16,1.6768271509978456e-08,0.0003830912227694649,7.0,98.0,0.40800000000000003,2.0
4.9303526383775806e-09,1.174349786128958e-16,2.3818778741867003e-08,0.00038295403644314935,7.0,97.0,0.6120000000000001,2.0
2.633752125530718e-09,1.1297647333380306e-16,4.2895636320003944e-08,0.000382840607069008,7.0,96.0,0.8160000000000001,2.0
3.8093297246786114e-10,1.0854839953509202e-16,2.8495406641190693e-07,0.0003827507224813609,7.0,95.0,1.02,2.0
-1.8281048207970509e-09,1.0415680389682527e-16,-5.697529086511192e-08,0.0003826841705145276,7.0,94.0,1.2240000000000002,2.0
-3.993361254258949e-09,9.980751476452849e-17,-2.4993359831415965e-08,0.0003826407390028278,7.0,93.0,1.428,2.0
-6.114836327944444e-09,9.550614214919055e-17,-1.561875690976929e-08,0.0003826202157805816,7.0,92.0,1.6320000000000001,2.0
-8.19253004182059e-09,9.12580777272652e-17,-1.1139181334876781e-08,0.00038262238868210847,7.0,91.0,1.836,2.0
-1.0226442395919064e-08,8.706849484066888e-17,-8.514055178701656e-09,0.0003826470455417286,7.0,90.0,2.04,2.0
-1.2216573390219594e-08,8.294234849678167e-17,-6.789330023031178e-09,0.0003826939741937614,7.0,89.0,2.244,2.0
-1.4162923024709507e-08,7.888437536844763e-17,-5.569780703518694e-09,0.00038276296247252673,7.0,88.0,2.4480000000000004,2.0
-1.6065491299431887e-08,7.489909379397485e-17,-4.662110382931362e-09,0.0003828537982123446,7.0,87.0,2.652,2.0
-1.7924278214342384e-08,7.099080377713413e-17,-3.960594838364524e-09,0.0003829662692475345,7.0,86.0,2.856,2.0
-1.9739283769472675e-08,6.716358698716073e-17,-3.4025341431603007e-09,0.00038310016341241656,7.0,85.0,3.06,2.0
-2.1510507964805022e-08,6.34213067587535e-17,-2.9483872190522847e-09,0.00038325526854131027,7.0,84.0,3.2640000000000002,2.0
-2.323795080033055e-08,5.976760809207443e-17,-2.5719827279789343e-09,0.00038343137246853545,7.0,83.0,3.4680000000000004,2.0
-2.4921612276082215e-08,5.620591765274997e-17,-2.2553082453133237e-09,0.00038362826302841194,7.0,82.0,3.672,2.0
-2.6561492392030863e-08,5.273944377186972e-17,-1.985560261203279e-09,0.0003838457280552597,7.0,81.0,3.8760000000000003,2.0
-2.815759114818537e-08,4.9371176445986864e-17,-1.7533877875476084e-09,0.00038408355538339825,7.0,80.0,4.08,2.0
-2.9709908544557134e-08,4.610388733711861e-17,-1.551801725272051e-09,0.00038434153284714755,7.0,79.0,4.284,2.0
-3.121844458112462e-08,4.2940129772745316e-17,-1.3754730688507105e-09,0.0003846194482808274,7.0,78.0,4.488,2.0
-3.26831992579005e-08,3.9882238745811375e-17,-1.220267282621381e-09,0.00038491708951875745,7.0,77.0,4.692,2.0
-3.41041725748835e-08,3.693233091472515e-17,-1.0829270475227564e-09,0.00038523424439525754,7.0,76.0,4.896000000000001,2.0
-3.5481364532079954e-08,3.4092304603358e-17,-9.608510003197297e-10,0.0003855707007446476,7.0,75.0,5.1000000000000005,2.0
-3.6814775129470866e-08,3.136383980104548e-17,-8.519362047097819e-10,0.0003859262464012472,7.0,74.0,5.304,2.0
-3.81044043670765e-08,2.874839816258652e-17,-7.544639167073849e-10,0.0003863006691993762,7.0,73.0,5.508000000000001,2.0
-3.935025224488927e-08,2.624722300824387e-17,-6.670153686664819e-10,0.0003866937569733545,7.0,72.0,5.712,2.0
-4.055231876290028e-08,2.386133932374342e-17,-5.884087532270342e-10,0.0003871052975575017,7.0,71.0,5.916,2.0
-4.171060392113109e-08,2.159155376027572e-17,-5.176514298642696e-10,0.0003875350787861379,7.0,70.0,6.12,2.0
-4.282510771956016e-08,1.943845463449427e-17,-4.539032280265777e-10,0.0003879828884935825,7.0,69.0,6.324000000000001,2.0
-4.389583015819761e-08,1.7402411928516364e-17,-3.9644795111060084e-10,0.0003884485145141556,7.0,68.0,6.5280000000000005,2.0
-4.4922771237042185e-08,1.54835772899231e-17,-3.446710179169831e-10,0.00038893174468217684,7.0,67.0,6.732000000000001,2.0
-4.590593095608629e-08,1.3681884031758745e-17,-2.980417507456033e-10,0.00038943236683196595,7.0,66.0,6.936000000000001,2.0
-4.684530931535271e-08,1.19970471325322e-17,-2.5609921906525614e-10,0.00038995016879784296,7.0,65.0,7.14,2.0
-4.774090631481866e-08,1.0428563236215323e-17,-2.1844083075101408e-10,0.0003904849384141275,7.0,64.0,7.344,2.0
-4.85927219544854e-08,8.975710652243774e-18,-1.8471306589186164e-10,0.0003910364635151393,7.0,63.0,7.548,2.0
-4.9400756234357984e-08,7.637549355516592e-18,-1.5460389552103077e-10,0.00039160453193519813,7.0,62.0,7.752000000000001,2.0
-5.016500915444278e-08,6.412920986397132e-18,-1.2783653575450772e-10,0.0003921889315086238,7.0,61.0,7.956,2.0
-5.088548071473849e-08,5.300448850711925e-18,-1.0416426800458035e-10,0.0003927894500697364,7.0,60.0,8.16,2.0
-5.1562170915234985e-08,4.2985379197512946e-18,-8.336611596159954e-11,0.0003934058754528554,7.0,59.0,8.364,2.0
-5.219507975593734e-08,3.4053748302692607e-18,-6.524321537954715e-11,0.0003940379954923005,7.0,58.0,8.568,2.0
-5.278420723684808e-08,2.6189278844834297e-18,-4.961574723917014e-11,0.0003946855980223919,7.0,57.0,8.772,2.0
-5.332955335797229e-08,1.936947050075101e-18,-3.6320331375615104e-11,0.00039534847087744913,7.0,56.0,8.976,2.0
4.192625385292248e-08,1.3937853907538636e-15,3.324373781743702e-08,0.0005414786305858335,127.0,99.0,0.20400000000000001,2.0
3.960317378264155e-08,1.3620710497627716e-15,3.4392977119419163e-08,0.0005402738595706965,127.0,98.0,0.40800000000000003,2.0
3.7296207306212054e-08,1.3305633993384132e-15,3.567556852132776e-08,0.0005391246874684941,127.0,97.0,0.6120000000000001,2.0
3.500535442368217e-08,1.2992560919490284e-15,3.711592450182543e-08,0.0005380307706817657,127.0,96.0,0.8160000000000001,2.0
3.273061513500246e-08,1.2681428064937718e-15,3.874485099846495e-08,0.0005369917656130516,127.0,95.0,1.02,2.0
3.047198944021221e-08,1.2372172483027083e-15,4.0601787773988284e-08,0.0005360073286648914,127.0,94.0,1.2240000000000002,2.0
2.8229477339298754e-08,1.2064731491368143e-15,4.273806187184563e-08,0.0005350771162398252,127.0,93.0,1.428,2.0
2.600307883224815e-08,1.1759042671879793e-15,4.522173219463774e-08,0.0005342007847403929,127.0,92.0,1.6320000000000001,2.0
2.3792793919083204e-08,1.1455043870790036e-15,4.814501361104307e-08,0.0005333779905691342,127.0,91.0,1.836,2.0
2.159862259978365e-08,1.115267319863601e-15,5.163603904421074e-08,0.0005326083901285892,127.0,90.0,2.04,2.0
1.9420564874359615e-08,1.0851869030263954e-15,5.587823577980138e-08,0.0005318916398212979,127.0,89.0,2.244,2.0
1.7258620742822507e-08,1.0552570004829237e-15,6.114376207738284e-08,0.0005312273960497997,127.0,88.0,2.4480000000000004,2.0
