dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
4.959443716870258e-08,9.264568219189521e-16,1.8680660066117428e-08,0.0006120557125809769,7.0,99.0,0.20400000000000001,2.0
4.661053193091217e-08,9.095820232319033e-16,1.9514517117721782e-08,0.0006119435438633663,7.0,98.0,0.40800000000000003,2.0
4.3670833187758e-08,8.924366715051345e-16,2.0435531139701413e-08,0.0006118441622820492,7.0,97.0,0.6120000000000001,2.0
4.077534093928317e-08,8.750358290075358e-16,2.1459926731465338e-08,0.0006117577229388205,7.0,96.0,0.8160000000000001,2.0
3.792405518545218e-08,8.573941890098566e-16,2.2608188518266803e-08,0.000611684380935476,7.0,95.0,1.02,2.0
3.511697592628279e-08,8.395260757847015e-16,2.3906559538242314e-08,0.0006116242913738114,7.0,94.0,1.2240000000000002,2.0
3.235410316176485e-08,8.214454446065315e-16,2.538922004728266e-08,0.0006115776093556224,7.0,93.0,1.428,2.0
2.9635436891923715e-08,8.031658817516617e-16,2.7101536740649213e-08,0.000611544489982704,7.0,92.0,1.6320000000000001,2.0
2.6960977116716285e-08,7.847006044982641e-16,2.9105050647876398e-08,0.0006115250883568525,7.0,91.0,1.836,2.0
2.4330723836178054e-08,7.660624611263673e-16,3.1485395431897796e-08,0.0006115195595798631,7.0,90.0,2.04,2.0
2.174467705028874e-08,7.472639309178523e-16,3.436537269280482e-08,0.0006115280587535316,7.0,89.0,2.244,2.0
1.9202836759071157e-08,7.283171241564602e-16,3.7927579830746266e-08,0.0006115507409796535,7.0,88.0,2.4480000000000004,2.0
1.670520296250249e-08,7.092337821277859e-16,4.2455861429506424e-08,0.0006115877613600243,7.0,87.0,2.652,2.0
1.425177566059542e-08,6.900252771192787e-16,4.841679335629188e-08,0.0006116392749964395,7.0,86.0,2.856,2.0
1.1842554853342336e-08,6.707026124202456e-16,5.66349593247569e-08,0.0006117054369906951,7.0,85.0,3.06,2.0
9.477540540738172e-09,6.512764223218485e-16,6.871787248204406e-08,0.0006117864024445865,7.0,84.0,3.2640000000000002,2.0
7.156732722820939e-09,6.317569721171055e-16,8.827449572101507e-08,0.0006118823264599088,7.0,83.0,3.4680000000000004,2.0
4.880131399527286e-09,6.121541581008877e-16,1.254380482788197e-07,0.0006119933641384582,7.0,82.0,3.672,2.0
2.6477365709002926e-09,5.924775075699292e-16,2.2376754322219938e-07,0.0006121196705820306,7.0,81.0,3.8760000000000003,2.0
4.5954823694756183e-10,5.727361788228123e-16,1.2463026354470947e-06,0.0006122614008924206,7.0,80.0,4.08,2.0
-1.684433602371455e-09,5.529389611599776e-16,-3.282640291558624e-07,0.0006124187101714245,7.0,79.0,4.284,2.0
-3.784208947006072e-09,5.330942748837225e-16,-1.4087337204397426e-07,0.0006125917535208374,7.0,78.0,4.488,2.0
-5.839777797004441e-09,5.132101712981988e-16,-8.788179775632113e-08,0.0006127806860424554,7.0,77.0,4.692,2.0
-7.851140152346287e-09,4.932943327094145e-16,-6.283091667418459e-08,0.0006129856628380741,7.0,76.0,4.896000000000001,2.0
-9.818296013021471e-09,4.733540724252333e-16,-4.82114281131318e-08,0.0006132068390094885,7.0,75.0,5.1000000000000005,2.0
-1.1741245379032533e-08,4.533963347553744e-16,-3.86156936610019e-08,0.0006134443696584947,7.0,74.0,5.304,2.0
-1.3619988250407344e-08,4.3342769501141393e-16,-3.182291254902155e-08,0.0006136984098868883,7.0,73.0,5.508000000000001,2.0
-1.5454524627102823e-08,4.1345435950678247e-16,-2.6752965198405494e-08,0.0006139691147964646,7.0,72.0,5.712,2.0
-1.7244854509149387e-08,3.934821655567666e-16,-2.2817366498975197e-08,0.0006142566394890192,7.0,71.0,5.916,2.0
-1.8990977896544492e-08,3.7351658147850897e-16,-1.9668106798569456e-08,0.000614561139066348,7.0,70.0,6.12,2.0
-2.0692894789270404e-08,3.535627065910077e-16,-1.708618877114939e-08,0.0006148827686302462,7.0,69.0,6.324000000000001,2.0
